Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-87.594
1051052,-89.89666667
1401402,-91.81566667
1751753,-103.329
2102103,-105.2473333
2452453,-104.4796667
2802804,-106.015
3153154,-105.4033333
3503504,-105.403
3853855,-106.1706667
4204205,-106.1706667
4554556,-106.5543333
4904906,-108.0893333
5255256,-107.322
5605607,-107.8616667
5955957,-108.821
6306307,-108.2456667
6656658,-107.094
7007008,-108.821
7357358,-107.478
7707709,-107.0943333
8058059,-107.634
8408409,-108.977
8758760,-108.2093333
9109110,-108.4013333
9459460,-108.785
9809811,-107.25
10160161,-107.2503333
10510511,-107.5976667
10860862,-107.9813333
11211212,-106.8303333
11561563,-107.214
11911913,-107.9813333
12262263,-106.4466667
12612614,-107.5976667
12962964,-106.986
13313314,-107.37
13663665,-106.6023333
14014015,-106.986
14364365,-106.7943333
14714716,-104.4916667
15065066,-104.3
15415416,-105.991
15765767,-105.2236667
16116117,-104.8396667
16466467,-104.8396667
16816818,-106.7583333
17167168,-107.526
17517518,-107.334
17867869,-106.7223333
18218219,-109.0246667
18568570,-107.298
18918920,-107.8736667
19269270,-108.0656667
19619621,-107.106
19969971,-104.9956667
20320321,-105.3433333
20670672,-102.6566667
21021022,-102.8486667
21371372,-103.6163333
21721723,-102.849
22072073,-104.9593333
22422423,-105.3436667
22772774,-103.9643333
23123124,-105.883
23473474,-104.7316667
23823825,-103.964
24174175,-103.3883333
24524525,-105.1156667
24874876,-104.9236667
25225226,-104.3116667
25575577,-103.9283333
25925927,-104.12
26276277,-105.0793333
26626628,-101.05
26976978,-104.8873333
27327328,-102.777
27677679,-104.6596667
28028029,-101.0136667
28378379,-101.7813333
28728730,-100.6303333
29079080,-102.549
29429430,-103.892
29779781,-103.1246667
30130131,-101.5536667
30480481,-101.1696667
30830832,-99.82666667
31181182,-99.63466667
31531532,-99.443
31881883,-97.14033333
32232233,-97.908
32582583,-96.75633333
32932934,-100.4026667
33283284,-98.48366667
33633635,-94.454
33983985,-100.2106667
34334335,-96.181
34684686,-97.90766667
35035036,-100.594
35385386,-97.908
35735737,-99.251
36086087,-98.48366667
36436437,-96.94833333
36786788,-95.989
37137138,-95.98866667
37487488,-94.83766667
37837839,-93.87833333
38188189,-91.57566667
38538539,-90.808
38888890,-91.76733333
39239240,-91.99566667
39589590,-95.64133333
39939941,-94.48966667
40290291,-96.98433333
40640642,-97.36833333
40990992,-96.98433333
41341342,-98.13566667
41691693,-98.13566667
42042043,-97.752
42392393,-97.752
42742744,-100.4383333
43093094,-98.51933333
43443444,-97.36833333
43793795,-97.94366667
44144145,-98.13566667
44494495,-97.56
44844846,-99.287
45195196,-97.94366667
45545546,-97.36833333
45895897,-100.6303333
46246247,-99.47866667
46596597,-99.095
46946948,-101.5896667
47297298,-101.0136667
47647649,-100.438
47997999,-101.2056667
48348349,-101.014
48698700,-101.0496667
49049050,-101.4336667
49399400,-102.201
49749751,-102.9686667
50100101,-101.2416667
50450451,-100.2826667
50800802,-101.8173333
51151152,-98.17166667
51501502,-99.70666667
51851853,-99.515
52202203,-100.2823333
52552553,-100.0903333
52902904,-100.474
53253254,-101.0496667
53603604,-99.89833333
53953955,-98.74733333
54304305,-99.89833333
54654655,-100.2823333
55005006,-101.2416667
55355356,-102.0093333
55705707,-102.201
56056057,-101.6253333
56406407,-104.5036667
56756758,-102.777
57107108,-102.0093333
57457458,-102.969
57807809,-101.2776667
58158159,-100.51
58508509,-101.4696667
58858860,-100.8936667
59209210,-101.086
59559560,-101.0856667
59909911,-102.0453333
60260261,-101.6616667
60610611,-101.6616667
60960962,-99.55066667
61311312,-101.086
61661662,-101.278
62012013,-101.6616667
62362363,-103.9643333
62712714,-104.7316667
63063064,-104.5396667
63413414,-103.964
63763765,-105.883
64114115,-103.1963333
64464465,-104.732
64814816,-105.1153333
65165166,-103.9643333
65515516,-104.156
65865867,-103.9643333
66216217,-103.5806667
66566567,-101.8533333
66916918,-102.0813333
67267268,-103.4243333
67617618,-102.465
67967969,-104.192
68318319,-105.5353333
68668669,-104.192
69019020,-106.3026667
69369370,-103.8083333
69719721,-106.3026667
70070071,-105.5353333
70420421,-105.9186667
70770772,-103.4243333
71121122,-103.4246667
71471472,-104.7676667
71821823,-105.1513333
72172173,-105.727
72522523,-104.9596667
72872874,-104.5756667
73223224,-103.6163333
73573574,-103.8083333
73923925,-103.8083333
74274275,-103.0406667
74624625,-103.616
74974976,-105.9186667
75325326,-104.7676667
75675676,-107.646
76026027,-106.7226667
76376377,-105.763
76726728,-107.106
77077078,-106.9146667
77427428,-105.3793333
77777779,-104.2276667
78128129,-107.6816667
78478479,-105.3793333
78828830,-106.147
79179180,-106.3386667
79529530,-106.5303333
79879881,-108.0656667
80230231,-105.3793333
80580581,-104.9956667
80930932,-106.3386667
81281282,-106.5303333
81631632,-106.5306667
81981983,-107.4896667
