Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-88.93733333
1051052,-91.048
1401402,-91.816
1751753,-103.9043333
2102103,-104.4796667
2452453,-105.247
2802804,-105.631
3153154,-105.7866667
3503504,-106.5543333
3853855,-106.1706667
4204205,-106.5546667
4554556,-104.06
4904906,-106.7463333
5255256,-106.7463333
5605607,-106.5183333
5955957,-106.902
6306307,-107.4776667
6656658,-107.8616667
7007008,-107.8616667
7357358,-108.2456667
7707709,-107.094
8058059,-106.866
8408409,-107.4416667
8758760,-106.8663333
9109110,-106.6743333
9459460,-104.9476667
9809811,-104.18
10160161,-105.5233333
10510511,-106.255
10860862,-104.9116667
11211212,-105.1033333
11561563,-104.528
11911913,-106.2546667
12262263,-105.487
12612614,-106.4463333
12962964,-107.562
13313314,-105.8346667
13663665,-104.492
14014015,-105.0673333
14364365,-103.7243333
14714716,-104.8756667
15065066,-102.957
15415416,-102.3453333
15765767,-102.7286667
16116117,-101.9613333
16466467,-102.1533333
16816818,-102.9206667
17167168,-104.264
17517518,-102.345
17867869,-103.4606667
18218219,-104.8033333
18568570,-103.8443333
18918920,-102.501
19269270,-104.6116667
19619621,-102.501
19969971,-101.158
20320321,-101.5056667
20670672,-100.5463333
21021022,-100.738
21371372,-99.011
21721723,-99.97066667
22072073,-101.6973333
22422423,-101.8893333
22772774,-99.93466667
23123124,-100.5103333
23473474,-99.167
23823825,-98.39966667
24174175,-98.01566667
24524525,-97.24866667
24874876,-97.44033333
25225226,-95.10166667
25575577,-95.29333333
25925927,-93.95
26276277,-92.415
26626628,-91.64766667
26976978,-92.22333333
27327328,-94.334
27677679,-91.61166667
28028029,-92.18733333
28378379,-91.80366667
28728730,-91.03566667
29079080,-93.53033333
29429430,-91.61166667
29779781,-91.61133333
30130131,-88.69733333
30480481,-89.08133333
30830832,-86.97066667
31181182,-85.24333333
31531532,-84.668
31881883,-85.05166667
32232233,-82.36566667
32582583,-80.83033333
32932934,-81.98166667
33283284,-80.83033333
33633635,-80.63866667
33983985,-80.63866667
34334335,-82.36566667
34684686,-81.79
35035036,-82.74933333
35385386,-84.284
35735737,-85.05166667
36086087,-85.05166667
36436437,-87.35433333
36786788,-87.16233333
37137138,-86.97033333
37487488,-87.354
37837839,-86.97066667
38188189,-86.39466667
38538539,-86.587
38888890,-86.97066667
39239240,-88.158
39589590,-88.54166667
39939941,-87.966
40290291,-89.693
40640642,-89.30933333
40990992,-89.69333333
41341342,-90.07666667
41691693,-90.65233333
42042043,-90.65233333
42392393,-90.65233333
42742744,-91.61166667
43093094,-90.46066667
43443444,-91.80333333
43793795,-91.99533333
44144145,-91.22833333
44494495,-92.763
44844846,-92.379
45195196,-92.37933333
45545546,-93.33866667
45895897,-92.95466667
46246247,-94.10633333
46596597,-93.72266667
46946948,-95.25766667
47297298,-95.833
47647649,-94.87366667
47997999,-95.64133333
48348349,-96.21666667
48698700,-96.061
49049050,-95.10133333
49399400,-93.75833333
49749751,-93.56666667
50100101,-93.758
50450451,-93.18266667
50800802,-93.95
51151152,-93.37466667
51501502,-94.71766667
51851853,-95.29333333
52202203,-95.10166667
52552553,-96.44466667
52902904,-96.061
53253254,-94.90966667
53603604,-94.334
53953955,-96.44466667
54304305,-97.98
54654655,-97.596
55005006,-100.0906667
55355356,-97.40433333
55705707,-97.21233333
56056057,-97.98
56406407,-95.869
56756758,-95.86933333
57107108,-94.90966667
57457458,-95.67733333
57807809,-95.71333333
58158159,-96.481
58508509,-97.44033333
58858860,-95.90533333
59209210,-96.48066667
59559560,-97.248
59909911,-97.05633333
60260261,-97.632
60610611,-98.016
60960962,-98.59133333
61311312,-99.55066667
61661662,-100.51
62012013,-100.702
62362363,-101.086
62712714,-97.63166667
63063064,-100.702
63413414,-99.93466667
63763765,-96.289
64114115,-98.59166667
64464465,-99.74266667
64814816,-98.975
65165166,-99.359
65515516,-99.74266667
65865867,-99.167
66216217,-98.01566667
66566567,-100.3183333
66916918,-99.011
67267268,-98.81933333
67617618,-101.6976667
67967969,-101.6973333
68318319,-100.93
68668669,-101.5053333
69019020,-102.465
69369370,-99.97033333
69719721,-102.0813333
70070071,-103.0403333
70420421,-99.395
70770772,-102.2733333
71121122,-102.0813333
71471472,-100.1623333
71821823,-100.93
72172173,-103.0406667
72522523,-103.2323333
72872874,-100.738
73223224,-101.8893333
73573574,-102.081
73923925,-99.77866667
74274275,-103.2326667
74624625,-104.192
74974976,-103.4246667
75325326,-103.8083333
75675676,-102.8486667
76026027,-101.9253333
76376377,-99.047
76726728,-101.158
77077078,-100.0063333
77427428,-102.3093333
77777779,-103.4606667
78128129,-102.6926667
78478479,-102.8846667
78828830,-102.8846667
79179180,-104.42
79529530,-104.228
79879881,-99.239
80230231,-100.0066667
80580581,-99.047
80930932,-103.8443333
81281282,-104.228
81631632,-104.036
81981983,-105.5713333
82332333,-104.8033333
82682683,-104.9956667
83033034,-103.6523333
83383384,-100.966
83733734,-96.93633333
84084085,-102.8846667
84434435,-102.8846667
84784786,-103.8443333
85135136,-103.4966667
