Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.362
700702,-87.594
1051052,-90.66433333
1401402,-91.43166667
1751753,-101.6016667
2102103,-103.1366667
2452453,-102.3693333
2802804,-101.9853333
3153154,-103.101
3503504,-103.1006667
3853855,-102.717
4204205,-102.9086667
4554556,-102.909
4904906,-103.2923333
5255256,-103.2926667
5605607,-105.367
5955957,-105.3673333
6306307,-106.9023333
6656658,-105.5593333
7007008,-106.1346667
7357358,-106.1346667
7707709,-106.3266667
8058059,-104.7556667
8408409,-101.8776667
8758760,-103.2203333
9109110,-101.8773333
9459460,-101.3016667
9809811,-100.3423333
10160161,-100.3423333
10510511,-101.2656667
10860862,-100.1143333
11211212,-100.306
11561563,-101.2656667
11911913,-101.266
12262263,-102.0333333
12612614,-101.4576667
12962964,-102.1893333
13313314,-103.3403333
13663665,-102.1893333
14014015,-101.2296667
14364365,-100.6543333
14714716,-100.6543333
15065066,-99.69466667
15415416,-99.65866667
15765767,-99.659
16116117,-99.85066667
16466467,-99.275
16816818,-99.65866667
17167168,-100.81
17517518,-101.002
17867869,-101.5416667
18218219,-103.2686667
18568570,-102.1173333
18918920,-102.885
19269270,-104.4196667
19619621,-102.693
19969971,-102.8846667
20320321,-99.97033333
20670672,-99.77866667
21021022,-99.77866667
21371372,-97.86
21721723,-97.47633333
22072073,-99.203
22422423,-101.122
22772774,-99.167
23123124,-98.59133333
23473474,-98.20766667
23823825,-97.82433333
24174175,-99.167
24524525,-100.51
24874876,-100.318
25225226,-100.4743333
25575577,-99.131
25925927,-98.74733333
26276277,-96.82866667
26626628,-97.788
26976978,-98.74766667
27327328,-97.40433333
27677679,-97.56
28028029,-96.40866667
28378379,-95.833
28728730,-95.25733333
29079080,-95.06566667
29429430,-94.87366667
29779781,-94.48966667
30130131,-93.87833333
30480481,-94.07
30830832,-93.49466667
31181182,-94.07033333
31531532,-92.34333333
31881883,-92.72666667
32232233,-92.15133333
32582583,-92.15133333
32932934,-93.11066667
33283284,-91.576
33633635,-89.657
33983985,-90.42466667
34334335,-91.00033333
34684686,-90.041
35035036,-86.39466667
35385386,-86.587
35735737,-85.24366667
36086087,-84.09233333
36436437,-83.133
36786788,-81.79
37137138,-81.406
37487488,-79.871
37837839,-77.952
38188189,-77.952
38538539,-77.37633333
38888890,-77.952
39239240,-78.18
39589590,-78.94766667
39939941,-77.60433333
40290291,-79.13966667
40640642,-78.75566667
40990992,-79.523
41341342,-80.09866667
41691693,-78.75533333
42042043,-80.86666667
42392393,-80.86633333
42742744,-80.29066667
43093094,-80.86633333
43443444,-81.44166667
43793795,-81.05833333
44144145,-81.442
44494495,-81.442
44844846,-81.05833333
45195196,-81.25
45545546,-81.63366667
45895897,-82.40133333
46246247,-82.20966667
46596597,-81.058
46946948,-84.12833333
47297298,-84.704
47647649,-84.896
47997999,-82.977
48348349,-84.89566667
48698700,-85.12366667
49049050,-82.82133333
49399400,-84.74
49749751,-84.16433333
50100101,-84.35633333
50450451,-84.16466667
50800802,-84.548
51151152,-84.54766667
51501502,-84.932
51851853,-84.93166667
52202203,-85.50766667
52552553,-83.97233333
52902904,-83.97233333
53253254,-85.12366667
53603604,-86.46666667
53953955,-86.083
54304305,-87.61833333
54654655,-87.23433333
55005006,-87.81033333
55355356,-84.74
55705707,-88.00233333
56056057,-88.76933333
56406407,-86.467
56756758,-87.23433333
57107108,-87.81033333
57457458,-85.89133333
57807809,-83.43266667
58158159,-84.96766667
58508509,-83.81633333
58858860,-81.322
59209210,-86.31133333
59559560,-82.66533333
59909911,-86.695
60260261,-85.73566667
60610611,-87.07866667
60960962,-86.503
61311312,-85.54366667
61661662,-91.68366667
62012013,-85.927
62362363,-91.29966667
62712714,-86.88666667
63063064,-92.643
63413414,-93.41066667
63763765,-94.37
64114115,-93.41033333
64464465,-92.64333333
64814816,-93.027
65165166,-88.61333333
65515516,-91.68366667
65865867,-89.381
66216217,-93.02666667
66566567,-93.027
66916918,-93.44666667
67267268,-94.98166667
67617618,-92.679
67967969,-96.70866667
68318319,-96.90066667
68668669,-97.28466667
69019020,-98.43566667
69369370,-99.01133333
69719721,-99.97066667
70070071,-101.8893333
70420421,-102.657
70770772,-97.86
71121122,-96.90033333
71471472,-99.395
71821823,-97.668
72172173,-94.21433333
72522523,-95.36533333
72872874,-94.406
73223224,-98.43566667
73573574,-100.1626667
73923925,-100.546
74274275,-97.28433333
74624625,-102.081
74974976,-100.1623333
75325326,-99.395
75675676,-103.6163333
76026027,-100.0066667
76376377,-104.228
76726728,-104.804
77077078,-104.8033333
77427428,-104.9956667
77777779,-104.42
78128129,-104.9956667
78478479,-100.774
78828830,-101.7336667
79179180,-99.23933333
79529530,-100.5823333
79879881,-102.309
80230231,-104.036
80580581,-103.4603333
80930932,-101.158
81281282,-101.158
81631632,-101.7336667
81981983,-102.3093333
82332333,-104.228
82682683,-100.966
83033034,-103.0766667
83383384,-104.0363333
83733734,-104.036
84084085,-106.147
84434435,-105.1873333
84784786,-105.7633333
85135136,-103.6883333
85485486,-103.4963333
85835837,-102.153
86186187,-103.8803333
86536537,-104.6476667
86886888,-105.4156667
87237238,-104.8393333
87587588,-104.072
87937939,-102.345
88288289,-104.264
88638639,-103.8803333
88988990,-104.4556667
89339340,-101.0016667
89689690,-103.6883333
90040041,-107.3343333
90390391,-105.0316667
90740741,-104.072
91091092,-104.264
91441442,-105.0316667
91791793,-97.548
92142143,-96.205
92492493,-97.54833333
92842844,-96.589
93193194,-97.93166667
93543544,-98.69966667
93893895,-98.69933333
94244245,-105.6073333
94594595,-104.3
94944946,-93.93833333
95295296,-93.171
95645646,-103.1486667
95995997,-103.5326667
96346347,-105.4513333
96696697,-106.4103333
97047048,-107.1776667
97397398,-105.835
97747748,-104.3
98098099,-96.81666667
98448449,-94.13
98798800,-96.43266667
99149150,-104.6836667
99499500,-105.643
99849851,-105.0676667
