Frequency (Hz),Magnitude (Log Mag dB)
350351,-35.978
700702,-87.786
1051052,-90.28066667
1401402,-91.43166667
1751753,-100.2583333
2102103,-104.6716667
2452453,-104.096
2802804,-106.782
3153154,-105.979
3503504,-106.171
3853855,-107.7056667
4204205,-106.938
4554556,-106.3623333
4904906,-107.8976667
5255256,-102.525
5605607,-105.559
5955957,-107.478
6306307,-107.094
6656658,-107.6696667
7007008,-107.4776667
7357358,-108.4373333
7707709,-108.4373333
8058059,-107.4416667
8408409,-105.9066667
8758760,-106.6743333
9109110,-108.5933333
9459460,-107.826
9809811,-107.6336667
10160161,-107.634
10510511,-108.1736667
10860862,-107.022
11211212,-106.2543333
11561563,-107.022
11911913,-102.8006667
12262263,-107.5976667
12612614,-107.214
12962964,-107.7536667
13313314,-107.7536667
13663665,-106.986
14014015,-106.986
14364365,-107.5616667
14714716,-106.986
15065066,-106.7943333
15415416,-105.2233333
15765767,-106.5666667
16116117,-107.9096667
16466467,-106.9503333
16816818,-107.526
17167168,-108.2933333
17517518,-108.1016667
17867869,-106.9143333
18218219,-106.9143333
18568570,-104.8036667
18918920,-106.3386667
19269270,-105.955
19619621,-107.1063333
19969971,-105.7633333
20320321,-106.6863333
20670672,-105.727
21021022,-103.808
21371372,-106.4943333
21721723,-107.646
22072073,-105.3433333
22422423,-106.8783333
22772774,-106.075
23123124,-107.0343333
23473474,-107.61
23823825,-105.3073333
24174175,-105.307
24524525,-106.267
24874876,-106.267
25225226,-106.231
25575577,-105.0796667
25925927,-104.5036667
26276277,-104.6956667
26626628,-103.928
26976978,-104.504
27327328,-104.6956667
27677679,-104.6596667
28028029,-105.0436667
28378379,-106.0026667
28728730,-104.4676667
29079080,-105.6193333
29429430,-106.7706667
29779781,-106.9626667
30130131,-105.967
30480481,-107.694
30830832,-104.6236667
31181182,-104.624
31531532,-104.4316667
31881883,-102.7046667
32232233,-102.1293333
32582583,-103.4723333
32932934,-101.9373333
33283284,-101.937
33633635,-101.5533333
33983985,-102.129
34334335,-102.513
34684686,-103.664
35035036,-104.432
35385386,-103.2803333
35735737,-103.6643333
36086087,-103.856
36436437,-102.7046667
36786788,-102.5126667
37137138,-99.443
37487488,-100.594
37837839,-98.67533333
38188189,-99.059
38538539,-98.29166667
38888890,-97.14
39239240,-97.752
39589590,-96.98433333
39939941,-98.136
40290291,-96.79266667
40640642,-97.368
40990992,-97.17633333
41341342,-96.217
41691693,-94.87366667
42042043,-96.217
42392393,-93.91433333
42742744,-93.33866667
43093094,-93.91433333
43443444,-94.10633333
43793795,-93.53033333
44144145,-92.76266667
44494495,-92.18733333
44844846,-91.036
45195196,-91.42
45545546,-89.69333333
45895897,-88.92533333
46246247,-89.885
46596597,-89.30933333
46946948,-88.92533333
47297298,-89.88466667
47647649,-89.11733333
47997999,-89.11733333
48348349,-89.501
48698700,-89.53733333
49049050,-88.96133333
49399400,-88.76966667
49749751,-88.96133333
50100101,-88.38566667
50450451,-86.27533333
50800802,-87.23433333
51151152,-86.85066667
51501502,-88.194
51851853,-87.618
52202203,-87.04266667
52552553,-88.00166667
52902904,-87.81
53253254,-89.15333333
53603604,-89.729
53953955,-90.30433333
54304305,-89.537
54654655,-89.729
55005006,-92.03133333
55355356,-91.26366667
55705707,-92.415
56056057,-93.37466667
56406407,-94.526
56756758,-94.334
57107108,-94.718
57457458,-93.56633333
57807809,-91.49166667
58158159,-91.108
58508509,-90.14866667
58858860,-89.57333333
59209210,-89.95666667
59559560,-90.14866667
59909911,-90.916
60260261,-91.87533333
60610611,-92.06733333
60960962,-92.06733333
61311312,-93.986
61661662,-92.45133333
62012013,-91.492
62362363,-94.94566667
62712714,-96.67266667
63063064,-94.94566667
63413414,-97.632
63763765,-98.01566667
64114115,-99.359
64464465,-98.78333333
64814816,-95.32933333
65165166,-90.14866667
65515516,-96.097
65865867,-96.86433333
66216217,-96.48066667
66566567,-96.289
66916918,-96.325
67267268,-96.517
67617618,-97.09233333
67967969,-97.476
68318319,-93.255
68668669,-93.83033333
69019020,-98.436
69369370,-99.58666667
69719721,-100.354
70070071,-101.122
70420421,-100.738
70770772,-101.3133333
71121122,-101.5056667
71471472,-97.668
71821823,-92.487
72172173,-100.738
72522523,-99.58666667
72872874,-99.77866667
73223224,-100.3543333
73573574,-99.203
73923925,-99.97066667
74274275,-100.546
74624625,-101.122
74974976,-97.28433333
75325326,-94.98166667
75675676,-102.8486667
76026027,-103.2683333
76376377,-102.6926667
76726728,-104.804
77077078,-102.8846667
77427428,-103.844
77777779,-102.6926667
78128129,-101.3496667
78478479,-95.01766667
78828830,-101.7336667
79179180,-101.3496667
79529530,-100.774
79879881,-102.5006667
80230231,-101.7333333
80580581,-102.309
80930932,-101.5416667
81281282,-101.5413333
81631632,-98.08766667
81981983,-97.70366667
82332333,-102.3093333
82682683,-104.42
83033034,-104.4196667
83383384,-104.9956667
83733734,-103.844
84084085,-104.036
84434435,-104.9956667
84784786,-102.309
85135136,-97.16433333
85485486,-100.81
85835837,-102.1533333
86186187,-102.729
86536537,-102.9206667
86886888,-102.921
87237238,-103.3046667
87587588,-104.072
87937939,-102.3453333
88288289,-101.7693333
88638639,-96.39666667
88988990,-102.729
89339340,-104.6476667
89689690,-104.84
90040041,-106.5666667
90390391,-105.6073333
90740741,-105.607
91091092,-106.375
91441442,-105.0316667
91791793,-101.1936667
92142143,-102.345
92492493,-101.5773333
92842844,-100.0426667
93193194,-98.891
93543544,-101.1936667
93893895,-101.5776667
94244245,-105.0313333
94594595,-105.0673333
94944946,-94.13
95295296,-94.89766667
95645646,-103.5323333
95995997,-104.3
96346347,-106.6026667
96696697,-106.986
97047048,-107.3696667
97397398,-106.986
97747748,-107.1776667
98098099,-104.492
98448449,-101.4216667
98798800,-103.5323333
99149150,-105.451
99499500,-106.027
99849851,-104.6836667
100200201,-105.451
100550551,-105.0676667
100900902,-106.2186667
101251252,-105.0676667
101601602,-104.8753333
101951953,-102.9566667
102302303,-103.3403333
102652653,-103.9163333
103003004,-104.8756667
103353354,-104.8756667
103703704,-97.812
104054055,-97.23633333
104404405,-104.7196667
104754755,-96.85266667
105105106,-97.04433333
105455456,-103.7603333
105805807,-104.528
106156157,-103.3766667
106506507,-105.487
106856858,-103.3766667
107207208,-102.4173333
107557558,-101.4576667
107907909,-103.1843333
108258259,-104.336
108608609,-104.528
108958960,-105.1036667
109309310,-105.6793333
