Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-88.55366667
1051052,-89.897
1401402,-90.47233333
1751753,-103.7123333
2102103,-104.4796667
2452453,-106.2066667
2802804,-104.6716667
3153154,-105.595
3503504,-105.595
3853855,-104.06
4204205,-106.7463333
4554556,-105.211
4904906,-107.514
5255256,-105.9786667
5605607,-107.0943333
5955957,-107.8616667
6306307,-105.943
6656658,-107.8616667
7007008,-107.094
7357358,-106.5183333
7707709,-108.0536667
8058059,-108.2096667
8408409,-108.0176667
8758760,-106.866
9109110,-108.0173333
9459460,-106.4823333
9809811,-104.9476667
10160161,-104.372
10510511,-105.1036667
10860862,-104.144
11211212,-104.528
11561563,-102.417
11911913,-102.2253333
12262263,-102.9926667
12612614,-104.336
12962964,-105.451
13313314,-105.2596667
13663665,-104.3003333
14014015,-104.8756667
14364365,-105.6433333
14714716,-106.027
15065066,-103.1486667
15415416,-101.3856667
15765767,-101.9613333
16116117,-104.4556667
16466467,-105.2236667
16816818,-104.84
17167168,-104.456
17517518,-100.0423333
17867869,-88.49366667
18218219,-90.41233333
18568570,-103.4603333
18918920,-102.309
19269270,-103.652
19619621,-104.42
19969971,-103.4606667
20320321,-101.6973333
20670672,-103.4246667
21021022,-103.4246667
21371372,-103.6163333
21721723,-104.3836667
22072073,-104.192
22422423,-104.7676667
22772774,-105.1153333
23123124,-104.7313333
23473474,-103.5803333
23823825,-103.964
24174175,-102.429
24524525,-104.1556667
24874876,-104.1556667
25225226,-101.8176667
25575577,-100.858
25925927,-100.2826667
26276277,-100.6663333
26626628,-101.2416667
26976978,-101.2416667
27327328,-101.6256667
27677679,-101.9733333
28028029,-101.7813333
28378379,-102.9326667
28728730,-101.5896667
29079080,-103.892
29429430,-103.892
29779781,-102.9326667
30130131,-102.8966667
30480481,-102.321
30830832,-101.5536667
31181182,-102.321
31531532,-100.4023333
31881883,-100.0183333
32232233,-99.635
32582583,-98.86733333
32932934,-96.565
33283284,-96.37266667
33633635,-97.90766667
33983985,-98.29166667
34334335,-98.86733333
34684686,-98.86733333
35035036,-97.716
35385386,-99.05933333
35735737,-99.443
36086087,-100.0186667
36436437,-98.48366667
36786788,-97.716
37137138,-96.94833333
37487488,-95.22133333
37837839,-94.64566667
38188189,-93.49433333
38538539,-92.727
38888890,-94.262
39239240,-92.95466667
39589590,-91.80333333
39939941,-92.76266667
40290291,-92.57066667
40640642,-91.42
40990992,-91.42
41341342,-89.885
41691693,-88.34966667
42042043,-90.07666667
42392393,-89.309
42742744,-88.73333333
43093094,-89.693
43443444,-89.11733333
43793795,-87.96633333
44144145,-87.774
44494495,-89.11733333
44844846,-88.73333333
45195196,-89.11766667
45545546,-89.11733333
45895897,-89.30933333
46246247,-90.26866667
46596597,-89.501
46946948,-90.26866667
47297298,-90.844
47647649,-89.693
47997999,-91.036
48348349,-91.42
48698700,-91.456
49049050,-90.68833333
49399400,-90.30466667
49749751,-90.68833333
50100101,-88.96133333
50450451,-90.30433333
50800802,-87.81
51151152,-88.96166667
51501502,-87.23433333
51851853,-89.537
52202203,-90.688
52552553,-91.264
52902904,-90.88033333
53253254,-89.72866667
53603604,-90.68833333
53953955,-89.92066667
54304305,-89.53666667
54654655,-92.607
55005006,-90.68833333
55355356,-93.75833333
55705707,-94.334
56056057,-93.37466667
56406407,-90.30466667
56756758,-90.30433333
57107108,-90.88033333
57457458,-88.76966667
57807809,-92.06733333
58158159,-89.57266667
58508509,-91.3
58858860,-91.29966667
59209210,-90.724
59559560,-92.06766667
59909911,-89.765
60260261,-92.25933333
60610611,-90.34066667
60960962,-93.41066667
61311312,-89.76466667
61661662,-92.451
62012013,-96.48066667
62362363,-97.24833333
62712714,-97.63166667
63063064,-98.016
63413414,-95.71333333
63763765,-95.52166667
64114115,-94.178
64464465,-93.79433333
64814816,-95.905
65165166,-95.13733333
65515516,-96.289
65865867,-96.289
66216217,-93.98666667
66566567,-92.451
66916918,-97.86
67267268,-95.94066667
67617618,-95.55733333
67967969,-94.02233333
68318319,-99.20266667
68668669,-99.395
69019020,-99.39466667
69369370,-101.6973333
69719721,-97.284
70070071,-101.6973333
70420421,-96.70866667
70770772,-101.8893333
71121122,-95.941
71471472,-101.8896667
71821823,-100.5463333
72172173,-103.6163333
72522523,-104.192
72872874,-102.465
73223224,-97.09233333
73573574,-97.47633333
73923925,-96.70833333
74274275,-102.0813333
74624625,-102.0813333
74974976,-102.8486667
75325326,-103.6163333
75675676,-103.6163333
76026027,-103.844
76376377,-97.51233333
76726728,-103.4603333
77077078,-100.5823333
77427428,-103.8443333
77777779,-99.81466667
78128129,-105.955
78478479,-103.8443333
78828830,-104.036
79179180,-105.571
79529530,-105.1873333
79879881,-104.4196667
80230231,-103.4606667
80580581,-100.0066667
80930932,-103.0766667
81281282,-99.43066667
81631632,-104.9953333
81981983,-105.763
82332333,-105.763
82682683,-105.3793333
83033034,-102.6926667
83383384,-104.6116667
83733734,-101.3496667
84084085,-99.62266667
84434435,-101.5416667
84784786,-102.5013333
85135136,-105.0313333
85485486,-106.183
85835837,-104.8396667
86186187,-107.142
86536537,-102.345
86886888,-106.7583333
87237238,-102.3453333
87587588,-106.3746667
87937939,-102.3453333
88288289,-105.4156667
88638639,-103.6886667
88988990,-104.6476667
89339340,-102.1533333
89689690,-103.88
90040041,-101.7696667
90390391,-102.345
90740741,-102.537
91091092,-105.0316667
91441442,-103.4963333
91791793,-97.548
92142143,-94.86166667
92492493,-98.12366667
92842844,-96.97233333
93193194,-96.013
93543544,-99.467
93893895,-97.93166667
94244245,-105.799
94594595,-103.532
94944946,-95.66533333
95295296,-96.62466667
95645646,-100.846
95995997,-103.5323333
96346347,-103.5326667
96696697,-102.9566667
97047048,-103.7243333
97397398,-103.1486667
97747748,-105.0676667
98098099,-92.979
98448449,-92.21166667
98798800,-91.44366667
99149150,-104.8756667
99499500,-106.0266667
99849851,-102.9566667
100200201,-105.643
100550551,-102.189
100900902,-105.259
101251252,-103.5326667
101601602,-103.149
101951953,-101.8053333
102302303,-101.6133333
102652653,-101.0383333
103003004,-101.9973333
103353354,-101.9973333
103703704,-98.004
104054055,-97.04466667
104404405,-99.92266667
104754755,-94.16633333
105105106,-93.20666667
105455456,-102.2253333
105805807,-103.1846667
106156157,-99.155
106506507,-99.53866667
106856858,-101.0736667
107207208,-97.81166667
107557558,-101.2656667
107907909,-101.4576667
108258259,-101.4576667
108608609,-100.8823333
108958960,-99.155
109309310,-99.155
109659660,-98.579
110010011,-98.38733333
110360361,-98.00366667
110710711,-98.77133333
111061062,-98.004
111411412,-98.19566667
111761762,-98.963
112112113,-98.96333333
112462463,-99.34666667
112812813,-99.95866667
113163164,-102.837
113513514,-100.3426667
113863865,-101.1096667
114214215,-99.575
114564565,-100.5343333
114914916,-99.57466667
115265266,-97.65633333
115615616,-96.88833333
115965967,-95.545
116316317,-95.54533333
116666667,-95.545
117017018,-94.20233333
117367368,-95.35333333
117717718,-95.35366667
118068069,-94.96933333
118418419,-94.96966667
118768769,-94.394
119119120,-93.24266667
119469470,-95.54533333
119819820,-98.03933333
120170171,-97.84766667
