Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-87.786
1051052,-88.55366667
1401402,-89.12933333
1751753,-96.42066667
2102103,-95.65333333
2452453,-91.81566667
2802804,-92.967
3153154,-94.658
3503504,-93.69833333
3853855,-91.77966667
4204205,-94.466
4554556,-95.04166667
4904906,-95.23333333
5255256,-94.466
5605607,-96.73233333
5955957,-88.86533333
6306307,-87.71433333
6656658,-89.05733333
7007008,-96.54066667
7357358,-89.441
7707709,-90.20866667
8058059,-96.69666667
8408409,-95.35333333
8758760,-94.586
9109110,-93.81833333
9459460,-95.929
9809811,-94.01033333
10160161,-94.96933333
10510511,-93.39833333
10860862,-92.631
11211212,-91.67166667
11561563,-92.24733333
11911913,-94.93366667
12262263,-91.288
12612614,-92.439
12962964,-95.28166667
13313314,-93.93833333
13663665,-93.363
14014015,-92.979
14364365,-92.01933333
14714716,-89.525
15065066,-88.75733333
15415416,-90.832
15765767,-92.559
16116117,-90.44833333
16466467,-89.681
16816818,-91.79133333
17167168,-95.24533333
17517518,-94.09433333
17867869,-96.36066667
18218219,-95.59333333
18568570,-93.48266667
18918920,-93.48266667
19269270,-96.169
19619621,-92.13966667
19969971,-93.29066667
20320321,-93.83033333
20670672,-92.295
21021022,-92.29533333
21371372,-93.44633333
21721723,-92.679
22072073,-93.83
22422423,-92.29533333
22772774,-91.3
23123124,-92.06733333
23473474,-90.91633333
23823825,-88.80566667
24174175,-89.381
24524525,-91.108
24874876,-91.10766667
25225226,-90.49633333
25575577,-89.72866667
25925927,-91.64766667
26276277,-90.30466667
26626628,-89.72866667
26976978,-90.113
27327328,-90.88
27677679,-91.42
28028029,-95.64133333
28378379,-93.72233333
28728730,-92.18733333
29079080,-95.06533333
29429430,-100.0543333
29779781,-96.217
30130131,-95.797
30480481,-94.64566667
30830832,-92.727
31181182,-91.76733333
31531532,-92.919
31881883,-93.30266667
32232233,-92.919
32582583,-91.192
32932934,-91.38366667
33283284,-91.95933333
33633635,-92.919
33983985,-92.343
34334335,-95.02966667
34684686,-94.64566667
35035036,-95.60533333
35385386,-96.75666667
35735737,-97.14033333
36086087,-98.48366667
36436437,-98.29166667
36786788,-96.37266667
37137138,-94.45366667
37487488,-91.95966667
37837839,-92.15133333
38188189,-91.384
38538539,-92.15133333
38888890,-92.727
39239240,-90.844
39589590,-90.844
39939941,-91.80333333
40290291,-93.33833333
40640642,-91.99566667
40990992,-92.57133333
41341342,-92.76266667
41691693,-93.33866667
42042043,-93.53033333
42392393,-92.95466667
42742744,-93.914
43093094,-92.95466667
43443444,-93.53066667
43793795,-93.14666667
44144145,-92.571
44494495,-91.036
44844846,-92.571
45195196,-91.99533333
45545546,-91.61166667
45895897,-91.80333333
46246247,-92.763
46596597,-91.99566667
46946948,-91.99533333
47297298,-92.18733333
47647649,-91.99533333
47997999,-93.14666667
48348349,-92.955
48698700,-92.03166667
49049050,-92.799
49399400,-92.22333333
49749751,-92.41533333
50100101,-90.688
50450451,-90.49633333
50800802,-91.264
51151152,-90.68833333
51501502,-90.88
51851853,-90.11266667
52202203,-92.60733333
52552553,-91.83933333
52902904,-91.83933333
53253254,-90.30466667
53603604,-91.264
53953955,-91.264
54304305,-92.03133333
54654655,-93.37466667
55005006,-92.41533333
55355356,-93.18266667
55705707,-93.758
56056057,-92.99066667
56406407,-93.183
56756758,-91.64766667
57107108,-91.072
57457458,-88.002
57807809,-91.68366667
58158159,-91.49166667
58508509,-92.835
58858860,-91.10766667
59209210,-89.18933333
59559560,-90.34033333
59909911,-90.53233333
60260261,-89.381
60610611,-91.108
60960962,-89.95666667
61311312,-93.21833333
61661662,-92.25933333
62012013,-92.259
62362363,-94.75366667
62712714,-94.94566667
63063064,-95.71333333
63413414,-94.94533333
63763765,-96.48066667
64114115,-95.32966667
64464465,-96.289
64814816,-94.562
65165166,-95.905
65515516,-97.44033333
65865867,-96.48066667
66216217,-95.713
66566567,-94.37
66916918,-93.06266667
67267268,-93.063
67617618,-95.74933333
67967969,-96.517
68318319,-97.668
68668669,-97.668
69019020,-98.24333333
69369370,-99.77866667
69719721,-98.24366667
70070071,-97.284
70420421,-94.98166667
70770772,-97.476
71121122,-100.3543333
71471472,-99.011
71821823,-99.77866667
72172173,-102.0813333
72522523,-101.5056667
72872874,-102.0813333
73223224,-100.3543333
