Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-84.90766667
1051052,-90.47233333
1401402,-90.47233333
1751753,-98.72333333
2102103,-98.53166667
2452453,-98.91533333
2802804,-100.0666667
3153154,-92.931
3503504,-94.08233333
3853855,-96.193
4204205,-96.57666667
4554556,-98.49566667
4904906,-100.2223333
5255256,-96.76866667
5605607,-97.11666667
5955957,-102.681
6306307,-101.3376667
6656658,-103.64
7007008,-103.2566667
7357358,-98.65133333
7707709,-101.7216667
8058059,-103.6046667
8408409,-101.6853333
8758760,-100.3426667
9109110,-100.726
9459460,-100.7263333
9809811,-103.988
10160161,-96.88866667
10510511,-100.1143333
10860862,-98.77133333
11211212,-101.266
11561563,-101.0736667
11911913,-100.4983333
12262263,-102.225
12612614,-103.7603333
12962964,-104.8756667
13313314,-101.038
13663665,-98.15966667
14014015,-99.311
14364365,-102.573
14714716,-101.038
15065066,-98.352
15415416,-97.93166667
15765767,-98.50733333
16116117,-100.81
16466467,-98.31566667
16816818,-98.891
17167168,-102.7286667
17517518,-98.89133333
17867869,-98.08766667
18218219,-99.62266667
18568570,-103.2683333
18918920,-101.9253333
19269270,-101.3496667
19619621,-100.9656667
19969971,-100.966
20320321,-98.05166667
20670672,-98.62733333
21021022,-99.011
21371372,-99.97066667
21721723,-98.05166667
22072073,-99.97066667
22422423,-105.535
22772774,-102.0453333
23123124,-102.429
23473474,-102.237
23823825,-100.5103333
24174175,-99.167
24524525,-100.3183333
24874876,-103.9643333
25225226,-104.3116667
25575577,-99.89866667
25925927,-101.6256667
26276277,-104.504
26626628,-101.2416667
26976978,-99.323
27327328,-97.788
27677679,-103.1246667
28028029,-102.357
28378379,-102.1653333
28728730,-99.86266667
29079080,-103.1246667
29429430,-103.5083333
29779781,-105.4273333
30130131,-103.856
30480481,-104.4316667
30830832,-100.5943333
31181182,-99.63466667
31531532,-101.3616667
31881883,-98.86766667
32232233,-100.2103333
32582583,-98.29166667
32932934,-99.82666667
33283284,-98.67533333
33633635,-100.978
33983985,-100.0186667
34334335,-103.0886667
34684686,-101.5536667
35035036,-102.705
35385386,-102.8966667
35735737,-104.432
36086087,-105.5833333
36436437,-104.048
36786788,-101.9373333
37137138,-100.594
37487488,-101.5533333
37837839,-96.373
38188189,-100.786
38538539,-98.48366667
38888890,-99.827
39239240,-98.13566667
39589590,-97.944
39939941,-101.5893333
40290291,-98.90333333
40640642,-100.2466667
40990992,-101.9733333
41341342,-103.3163333
41691693,-103.3166667
42042043,-100.0543333
42392393,-99.47866667
42742744,-101.014
43093094,-98.32766667
43443444,-99.47933333
43793795,-97.368
44144145,-96.601
44494495,-94.298
44844846,-93.53066667
45195196,-96.21666667
45545546,-93.53033333
45895897,-95.44966667
46246247,-97.752
46596597,-95.83333333
46946948,-94.49
47297298,-94.106
47647649,-97.56
47997999,-97.368
48348349,-98.90333333
48698700,-98.172
49049050,-99.131
49399400,-96.06066667
49749751,-94.71766667
50100101,-94.526
50450451,-96.25266667
50800802,-96.253
51151152,-93.75833333
51501502,-93.18266667
51851853,-93.56633333
52202203,-92.60733333
52552553,-92.03133333
52902904,-92.79866667
53253254,-92.41533333
53603604,-92.41533333
53953955,-93.56666667
54304305,-90.88033333
54654655,-93.18266667
55005006,-95.869
55355356,-95.67733333
55705707,-93.56633333
56056057,-96.82833333
56406407,-97.40433333
56756758,-97.40433333
57107108,-92.607
57457458,-93.375
57807809,-96.86433333
58158159,-97.05633333
58508509,-97.24866667
58858860,-96.86466667
59209210,-96.097
59559560,-96.289
59909911,-94.56166667
60260261,-91.68366667
60610611,-95.90533333
60960962,-92.06766667
61311312,-93.60233333
61661662,-94.562
62012013,-94.75366667
62362363,-94.946
62712714,-95.713
63063064,-98.78333333
63413414,-94.75366667
63763765,-93.41066667
64114115,-95.13766667
64464465,-100.7023333
64814816,-100.5103333
65165166,-100.8943333
65515516,-100.7023333
65865867,-102.0453333
66216217,-103.0043333
66566567,-98.59133333
66916918,-94.598
67267268,-96.70866667
67617618,-99.203
67967969,-100.3543333
68318319,-102.0813333
68668669,-100.5463333
69019020,-101.1216667
69369370,-103.0406667
69719721,-102.273
70070071,-98.43533333
70420421,-103.8083333
70770772,-100.738
71121122,-99.587
71471472,-100.546
71821823,-101.1216667
72172173,-98.43566667
72522523,-104.3836667
72872874,-100.546
73223224,-99.58666667
73573574,-98.24366667
73923925,-100.3543333
74274275,-104.384
74624625,-104.9596667
74974976,-103.041
75325326,-102.0813333
75675676,-100.5463333
76026027,-105.3793333
76376377,-101.5413333
76726728,-102.1173333
77077078,-105.379
77427428,-101.9256667
77777779,-105.571
78128129,-104.6116667
78478479,-105.3793333
78828830,-101.9253333
79179180,-104.6116667
79529530,-104.4196667
79879881,-104.0363333
80230231,-102.1176667
80580581,-102.3093333
80930932,-101.542
81281282,-104.228
81631632,-105.5713333
81981983,-103.077
82332333,-103.6523333
82682683,-104.8036667
83033034,-105.3793333
83383384,-103.6523333
83733734,-100.0066667
84084085,-103.4603333
84434435,-105.1873333
84784786,-106.3386667
85135136,-107.9096667
85485486,-102.153
85835837,-103.6883333
86186187,-105.607
86536537,-105.2233333
86886888,-103.1126667
87237238,-104.456
87587588,-102.7286667
87937939,-105.2233333
88288289,-105.6073333
88638639,-103.6883333
88988990,-101.3856667
89339340,-104.264
89689690,-105.4153333
90040041,-101.9613333
90390391,-85.26766667
90740741,-85.268
91091092,-103.8803333
91441442,-105.0313333
91791793,-103.4963333
92142143,-101.5776667
92492493,-96.78066667
92842844,-94.66966667
93193194,-96.013
93543544,-92.17566667
93893895,-92.559
94244245,-103.88
94594595,-103.724
94944946,-99.50266667
95295296,-99.69466667
95645646,-101.9973333
95995997,-104.8756667
96346347,-106.6023333
96696697,-107.37
97047048,-105.4513333
97397398,-105.643
97747748,-105.451
98098099,-101.2296667
98448449,-99.88666667
98798800,-101.6136667
99149150,-105.2593333
99499500,-107.1783333
99849851,-107.37
100200201,-106.4106667
100550551,-106.794
100900902,-105.2593333
101251252,-105.835
101601602,-106.6023333
101951953,-92.59533333
102302303,-85.68733333
102652653,-86.071
103003004,-106.0266667
103353354,-99.69466667
103703704,-83.229
104054055,-82.845
104404405,-107.7896667
104754755,-91.86366667
105105106,-93.015
105455456,-103.1843333
105805807,-107.4063333
106156157,-107.0223333
106506507,-105.1036667
106856858,-104.9113333
107207208,-104.5276667
107557558,-103.3763333
107907909,-103.1846667
108258259,-105.8706667
108608609,-107.9816667
108958960,-106.4463333
109309310,-105.8706667
109659660,-105.2953333
110010011,-106.8303333
110360361,-105.679
110710711,-106.2546667
111061062,-107.214
111411412,-106.8303333
111761762,-106.063
112112113,-105.871
112462463,-107.0223333
112812813,-106.674
113163164,-106.4826667
113513514,-106.0986667
113863865,-105.715
114214215,-106.8663333
114564565,-104.9476667
114914916,-105.907
115265266,-105.907
115615616,-105.907
115965967,-106.4826667
116316317,-105.907
116666667,-106.4826667
117017018,-105.5233333
117367368,-107.0583333
117717718,-105.715
118068069,-105.1396667
118418419,-103.7963333
118768769,-105.1393333
119119120,-98.61533333
119469470,-100.3423333
119819820,-102.261
120170171,-100.726
120520521,-102.837
120870872,-105.1396667
121221222,-104.372
121571572,-103.9883333
121921923,-101.7216667
122272273,-102.8726667
122622623,-105.559
122972974,-104.024
123323324,-104.216
123673674,-103.2563333
124024025,-104.0243333
124374375,-103.2566667
124724725,-103.065
125075076,-103.4483333
125425426,-104.9833333
125775776,-105.751
126126127,-103.4483333
126476477,-103.832
126826827,-104.024
127177178,-103.6403333
127527528,-103.832
127877879,-104.0243333
128228229,-103.832
128578579,-104.7913333
128928930,-102.873
129279280,-104.408
129629630,-104.408
129979981,-102.105
130330331,-102.489
130680681,-101.1456667
131031032,-99.26266667
131381382,-97.536
131731732,-101.3736667
132082083,-104.4436667
132432433,-102.717
132782783,-104.2516667
133133134,-101.374
133483484,-101.7573333
133833834,-104.2516667
134184185,-102.9086667
134534535,-103.2926667
134884885,-100.9896667
135235236,-99.83866667
135585586,-102.7166667
135935937,-104.06
136286287,-101.3736667
136636637,-101.5656667
136986988,-102.1413333
137337338,-101.7576667
137687688,-101.182
138038039,-101.182
138388389,-102.141
138738739,-100.2223333
139089090,-101.1816667
139439440,-101.949
139789790,-101.7573333
140140141,-102.9446667
140490491,-103.1366667
140840841,-103.3283333
141191192,-101.7933333
141541542,-102.5606667
141891892,-103.5203333
142242243,-102.9446667
142592593,-102.5606667
142942944,-101.374
143293294,-100.6063333
143643644,-102.141
143993995,-103.1003333
144344345,-101.949
144694695,-102.9083333
145045046,-100.7976667
145395396,-103.832
145745746,-101.7213333
146096097,-99.22733333
146446447,-100.762
146796797,-102.1053333
147147148,-101.7216667
147497498,-102.105
147847848,-100.7263333
148198199,-101.6856667
148548549,-101.4936667
148898899,-102.6446667
149249250,-101.11
149599600,-102.453
149949951,-103.2206667
150300301,-102.0333333
150650651,-101.6493333
151001002,-100.306
151351352,-102.9926667
151701702,-103.1846667
152052053,-103.1843333
152402403,-102.9926667
152752753,-102.381
153103104,-102.573
153453454,-101.8056667
153803804,-101.8053333
154154155,-102.765
154504505,-100.4623333
154854855,-100.0786667
155205206,-101.5776667
155555556,-103.1126667
155905906,-101.3856667
156256257,-102.3453333
156606607,-101.9613333
156956958,-102.729
157307308,-103.88
157657658,-102.1533333
158008009,-102.1173333
158358359,-102.501
158708709,-101.7333333
159059060,-100.9663333
159409410,-101.7336667
159759760,-104.036
160110111,-103.4606667
160460461,-103.0406667
160810811,-103.2326667
161161162,-102.465
161511512,-101.3136667
161861862,-103.2326667
162212213,-101.314
162562563,-101.5056667
162912913,-101.278
163263264,-104.156
163613614,-102.621
163963964,-101.8533333
164314315,-102.6206667
164664665,-103.1966667
165015016,-103.1966667
165365366,-103.5446667
165715716,-102.393
166066067,-102.2013333
166416417,-100.858
166766767,-101.6256667
167117118,-99.70666667
167467468,-103.1606667
167817818,-102.549
168168169,-101.7813333
168518519,-102.1653333
168868869,-101.9733333
169219220,-102.741
169569570,-102.7406667
169919920,-102.9326667
170270271,-101.1696667
170620621,-98.09966667
170970971,-97.908
171321322,-103.2806667
171671672,-100.9776667
172022023,-100.978
172372373,-101.1696667
172722723,-101.1336667
173073074,-100.3663333
173423424,-103.2446667
173773774,-102.2853333
174124125,-102.477
174474475,-103.053
174824825,-102.669
175175176,-101.9013333
175525526,-101.4816667
175875876,-102.633
176226227,-102.633
176576577,-101.4816667
176926927,-102.441
177277278,-101.4813333
