Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.362
700702,-88.17
1051052,-90.66433333
1401402,-91.62366667
1751753,-104.48
2102103,-106.0146667
2452453,-104.4796667
2802804,-103.5203333
3153154,-106.5546667
3503504,-107.3223333
3853855,-105.9786667
4204205,-106.3626667
4554556,-107.1303333
4904906,-107.322
5255256,-108.6653333
5605607,-108.0536667
5955957,-103.6403333
6306307,-104.4076667
6656658,-107.6696667
7007008,-107.8616667
7357358,-107.0943333
7707709,-107.4776667
8058059,-107.25
8408409,-107.6336667
8758760,-108.2096667
9109110,-106.099
9459460,-106.099
9809811,-108.4013333
10160161,-108.2093333
10510511,-108.3653333
10860862,-108.1736667
11211212,-106.2546667
11561563,-107.2143333
11911913,-107.9816667
12262263,-107.5976667
12612614,-106.063
12962964,-106.027
13313314,-106.7943333
13663665,-105.6433333
14014015,-107.5616667
14364365,-107.7533333
14714716,-106.794
15065066,-107.5616667
15415416,-107.7176667
15765767,-106.9503333
16116117,-107.142
16466467,-107.334
16816818,-107.1423333
17167168,-107.7176667
17517518,-107.5256667
17867869,-108.833
18218219,-107.6816667
18568570,-107.8736667
18918920,-106.531
19269270,-108.0653333
19619621,-106.3386667
19969971,-107.298
20320321,-107.262
20670672,-106.4946667
21021022,-107.646
21371372,-105.9186667
21721723,-106.1106667
22072073,-107.6456667
22422423,-106.8783333
22772774,-107.226
23123124,-107.4183333
23473474,-107.226
23823825,-107.2263333
24174175,-105.4993333
24524525,-107.2263333
24874876,-107.0343333
25225226,-107.574
25575577,-107.3823333
25925927,-105.847
26276277,-105.6553333
26626628,-104.6956667
26976978,-103.928
27327328,-105.655
27677679,-105.811
28028029,-106.5786667
28378379,-105.0436667
28728730,-105.427
29079080,-106.962
29429430,-107.9216667
29779781,-107.1543333
30130131,-107.8856667
30480481,-106.5426667
30830832,-106.1586667
31181182,-105.583
31531532,-105.0076667
31881883,-106.9266667
32232233,-104.432
32582583,-105.391
32932934,-105.9666667
33283284,-104.048
33633635,-103.4723333
33983985,-103.2806667
34334335,-106.7343333
34684686,-106.9263333
35035036,-106.5423333
35385386,-106.3506667
35735737,-106.1586667
36086087,-106.9263333
36436437,-104.8156667
36786788,-105.3913333
37137138,-104.8156667
37487488,-103.856
37837839,-101.7456667
38188189,-102.7046667
38538539,-102.8963333
38888890,-102.513
39239240,-103.3166667
39589590,-102.549
39939941,-101.3976667
40290291,-102.165
40640642,-104.084
40990992,-106.1946667
41341342,-103.8923333
41691693,-101.3976667
42042043,-102.741
42392393,-102.7406667
42742744,-100.0546667
43093094,-99.47866667
43443444,-98.51933333
43793795,-97.944
44144145,-100.6303333
44494495,-97.368
44844846,-96.79266667
45195196,-98.32766667
45545546,-96.217
45895897,-95.641
46246247,-96.02533333
46596597,-95.833
46946948,-96.79233333
47297298,-95.83333333
47647649,-96.60066667
47997999,-96.217
48348349,-94.49
48698700,-97.596
49049050,-98.939
49399400,-97.02033333
49749751,-94.33433333
50100101,-94.90966667
50450451,-95.869
50800802,-94.334
51151152,-96.63666667
51501502,-95.10166667
51851853,-92.415
52202203,-93.75833333
52552553,-91.264
52902904,-90.88
53253254,-91.648
53603604,-91.83966667
53953955,-92.991
54304305,-92.03166667
54654655,-91.83966667
55005006,-93.56666667
55355356,-91.264
55705707,-93.95
56056057,-94.142
56406407,-96.061
56756758,-93.18233333
57107108,-96.25266667
57457458,-95.86933333
57807809,-96.67266667
58158159,-91.49166667
58508509,-96.097
58858860,-94.37
59209210,-90.53233333
59559560,-91.68366667
59909911,-89.18933333
60260261,-89.765
60610611,-93.79433333
60960962,-93.02666667
61311312,-86.69466667
