Frequency (Hz),Magnitude (Log Mag dB)
350351,-35.978
700702,-87.594
1051052,-90.28066667
1401402,-91.24
1751753,-103.7126667
2102103,-104.8633333
2452453,-106.2066667
2802804,-104.6716667
3153154,-105.595
3503504,-105.979
3853855,-106.3623333
4204205,-103.2926667
4554556,-105.2116667
4904906,-105.979
5255256,-106.7466667
5605607,-108.4373333
5955957,-107.478
6306307,-107.286
6656658,-108.4373333
7007008,-108.6293333
7357358,-105.751
7707709,-106.3266667
8058059,-107.6336667
8408409,-106.8663333
8758760,-107.442
9109110,-106.8663333
9459460,-107.058
9809811,-107.6336667
10160161,-106.2906667
10510511,-106.6383333
10860862,-104.9116667
11211212,-106.2546667
11561563,-105.679
11911913,-105.4873333
12262263,-106.0626667
12612614,-105.6793333
12962964,-106.2186667
13313314,-106.2183333
13663665,-105.4513333
14014015,-104.4916667
14364365,-104.1083333
14714716,-104.6836667
15065066,-104.3
15415416,-105.991
15765767,-105.6073333
16116117,-105.7993333
16466467,-106.183
16816818,-106.7583333
17167168,-105.799
17517518,-106.7586667
17867869,-106.147
18218219,-107.8736667
18568570,-106.1466667
18918920,-105.1873333
19269270,-105.5713333
19619621,-104.8036667
19969971,-105.3796667
20320321,-104.0003333
20670672,-104.5756667
21021022,-104.0003333
21371372,-105.3433333
21721723,-103.4243333
22072073,-105.727
22422423,-106.8783333
22772774,-106.459
23123124,-106.4586667
23473474,-105.4993333
23823825,-103.7723333
24174175,-105.4993333
24524525,-104.54
24874876,-105.3073333
25225226,-104.8876667
25575577,-105.847
25925927,-103.5443333
26276277,-103.1606667
26626628,-101.4336667
26976978,-102.201
27327328,-102.585
27677679,-102.549
28028029,-103.3166667
28378379,-103.7003333
28728730,-102.357
29079080,-104.276
29429430,-105.4273333
29779781,-105.619
30130131,-104.8156667
30480481,-104.0483333
30830832,-103.4723333
31181182,-101.17
31531532,-101.7456667
31881883,-102.129
32232233,-100.978
32582583,-100.4026667
32932934,-100.5943333
33283284,-99.05933333
33633635,-102.321
33983985,-100.0186667
34334335,-101.5533333
34684686,-101.7453333
35035036,-102.8966667
35385386,-102.129
35735737,-101.5536667
36086087,-101.9376667
36436437,-100.402
36786788,-101.3616667
37137138,-100.0186667
37487488,-100.2103333
37837839,-97.716
38188189,-99.443
38538539,-98.09966667
38888890,-97.332
39239240,-96.60066667
39589590,-96.601
39939941,-96.601
40290291,-97.56033333
40640642,-96.21666667
40990992,-97.752
41341342,-97.752
41691693,-98.32766667
42042043,-96.217
42392393,-96.98433333
42742744,-97.56
43093094,-96.98433333
43443444,-96.21666667
43793795,-95.83333333
44144145,-95.44933333
44494495,-94.29833333
44844846,-93.33866667
45195196,-93.33866667
45545546,-93.72233333
45895897,-92.955
46246247,-92.763
46596597,-93.33866667
46946948,-93.33866667
47297298,-92.955
47647649,-93.91433333
47997999,-92.955
48348349,-95.25733333
48698700,-95.48566667
49049050,-95.29333333
49399400,-95.86933333
49749751,-93.95033333
50100101,-92.03133333
50450451,-93.375
50800802,-92.03133333
51151152,-90.49633333
51501502,-91.456
51851853,-90.30433333
52202203,-91.072
52552553,-91.45566667
52902904,-90.30433333
53253254,-91.072
53603604,-91.83933333
53953955,-92.991
54304305,-94.52566667
54654655,-91.264
55005006,-93.95033333
55355356,-93.37466667
55705707,-94.718
56056057,-93.75866667
56406407,-95.29366667
56756758,-93.183
57107108,-92.99066667
57457458,-91.45566667
57807809,-88.61366667
58158159,-90.91633333
58508509,-89.957
58858860,-90.53266667
59209210,-90.34033333
59559560,-90.91633333
59909911,-91.29966667
60260261,-92.83466667
60610611,-94.562
60960962,-91.49166667
61311312,-96.48066667
61661662,-92.451
62012013,-92.25933333
62362363,-95.713
62712714,-96.097
63063064,-96.097
63413414,-94.94566667
63763765,-94.36966667
64114115,-91.68366667
64464465,-95.32966667
64814816,-93.79433333
65165166,-91.108
65515516,-94.562
65865867,-94.75366667
66216217,-94.75366667
66566567,-94.75366667
66916918,-95.749
67267268,-96.13266667
67617618,-92.679
67967969,-95.74933333
68318319,-94.406
68668669,-98.24366667
69019020,-99.01133333
69369370,-99.395
69719721,-98.62766667
70070071,-100.5463333
70420421,-101.6976667
70770772,-96.13266667
71121122,-101.5056667
71471472,-99.203
