Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.362
700702,-88.74566667
1051052,-91.43166667
1401402,-91.048
1751753,-103.1366667
2102103,-105.823
2452453,-106.0146667
2802804,-106.207
3153154,-106.5546667
3503504,-107.706
3853855,-106.7463333
4204205,-106.5543333
4554556,-106.3623333
4904906,-108.0896667
5255256,-108.0896667
5605607,-107.0943333
5955957,-107.2863333
6306307,-107.286
6656658,-107.6696667
7007008,-106.3266667
7357358,-107.67
7707709,-106.902
8058059,-106.4826667
8408409,-107.442
8758760,-104.9473333
9109110,-105.1393333
9459460,-103.6046667
9809811,-103.6046667
10160161,-104.9473333
10510511,-106.063
10860862,-106.2546667
11211212,-106.0626667
11561563,-101.266
11911913,-99.53866667
12262263,-103.5686667
12612614,-106.4466667
12962964,-105.2593333
13313314,-104.8753333
13663665,-96.24066667
14014015,-95.28166667
14364365,-103.724
14714716,-101.9976667
15065066,-98.15966667
15415416,-94.478
15765767,-94.094
16116117,-95.43733333
16466467,-101.194
16816818,-103.1126667
17167168,-103.3043333
17517518,-99.275
17867869,-91.372
18218219,-92.90733333
18568570,-105.571
18918920,-102.3093333
19269270,-103.2683333
19619621,-103.0766667
19969971,-102.5006667
20320321,-101.5056667
20670672,-100.1623333
21021022,-100.738
21371372,-101.1216667
21721723,-101.6976667
22072073,-101.122
22422423,-101.122
22772774,-103.964
23123124,-102.429
23473474,-103.1966667
23823825,-102.0453333
24174175,-102.6206667
24524525,-102.429
24874876,-102.429
25225226,-101.4336667
25575577,-99.323
25925927,-101.05
26276277,-98.55566667
26626628,-96.63666667
26976978,-98.17166667
27327328,-98.36366667
27677679,-100.8216667
28028029,-100.822
28378379,-102.357
28728730,-100.4383333
29079080,-99.86266667
29429430,-103.3163333
29779781,-102.933
30130131,-102.513
30480481,-101.7453333
30830832,-99.44266667
31181182,-98.48366667
31531532,-99.251
31881883,-97.33233333
32232233,-98.09966667
32582583,-97.524
32932934,-98.67533333
33283284,-96.75666667
33633635,-96.18066667
33983985,-95.989
