Frequency (Hz),Magnitude (Log Mag dB)
350351,-35.978
700702,-88.36166667
1051052,-89.321
1401402,-92.19966667
1751753,-105.0553333
2102103,-105.0553333
2452453,-105.0553333
2802804,-105.631
3153154,-107.706
3503504,-106.1706667
3853855,-107.322
4204205,-107.7056667
4554556,-106.938
4904906,-106.9383333
5255256,-106.3623333
5605607,-107.094
5955957,-107.8613333
6306307,-108.2456667
6656658,-107.2863333
7007008,-107.286
7357358,-107.286
7707709,-107.6696667
8058059,-108.5933333
8408409,-107.25
8758760,-108.0176667
9109110,-108.0176667
9459460,-107.058
9809811,-108.7853333
10160161,-108.4013333
10510511,-107.7896667
10860862,-106.6383333
11211212,-106.4466667
11561563,-107.7896667
11911913,-106.0626667
12262263,-107.7896667
12612614,-108.557
12962964,-107.7533333
13313314,-107.9456667
13663665,-107.562
14014015,-106.6023333
14364365,-107.9456667
14714716,-106.6026667
15065066,-106.0266667
15415416,-106.375
15765767,-107.334
16116117,-105.2233333
16466467,-105.799
16816818,-107.3343333
17167168,-107.9096667
17517518,-106.183
17867869,-105.5713333
18218219,-106.339
18568570,-107.106
18918920,-106.9143333
19269270,-107.49
19619621,-105.5713333
19969971,-104.9953333
20320321,-105.727
20670672,-105.5353333
21021022,-106.4946667
21371372,-103.4243333
21721723,-105.1516667
22072073,-104.576
22422423,-105.919
22772774,-105.3076667
23123124,-104.9236667
23473474,-105.1156667
23823825,-104.5396667
24174175,-103.1966667
24524525,-106.267
24874876,-105.6913333
25225226,-104.12
25575577,-104.312
25925927,-102.9686667
26276277,-104.504
26626628,-102.009
26976978,-102.0093333
27327328,-102.3933333
27677679,-103.3166667
28028029,-102.357
28378379,-101.7816667
28728730,-102.1653333
29079080,-102.9326667
29429430,-103.892
29779781,-105.0433333
30130131,-104.432
30480481,-103.0886667
30830832,-102.1293333
31181182,-101.5536667
31531532,-100.594
31881883,-98.867
32232233,-99.635
32582583,-99.443
32932934,-100.978
33283284,-98.867
33633635,-98.67533333
33983985,-99.251
34334335,-100.0186667
34684686,-99.82633333
35035036,-100.978
35385386,-99.82666667
35735737,-97.716
36086087,-99.63433333
36436437,-100.2103333
36786788,-95.79733333
37137138,-96.56433333
37487488,-95.797
37837839,-94.45433333
38188189,-95.41333333
38538539,-92.343
38888890,-92.535
39239240,-92.76333333
39589590,-93.91433333
39939941,-92.379
40290291,-93.53066667
40640642,-93.72266667
40990992,-95.44966667
41341342,-95.833
41691693,-95.06533333
42042043,-93.14666667
42392393,-92.955
42742744,-93.33833333
43093094,-93.91433333
43443444,-93.53033333
43793795,-91.228
44144145,-91.80366667
44494495,-91.80366667
44844846,-93.53066667
45195196,-91.036
45545546,-92.76266667
45895897,-91.61166667
46246247,-92.76333333
46596597,-90.65233333
46946948,-93.147
47297298,-91.22766667
47647649,-95.06566667
47997999,-94.298
48348349,-97.17633333
48698700,-94.334
49049050,-91.64766667
49399400,-91.264
49749751,-91.64766667
