Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-89.129
1051052,-91.048
1401402,-91.81566667
1751753,-100.4503333
2102103,-102.561
2452453,-103.5203333
2802804,-104.8636667
3153154,-104.6353333
3503504,-104.8276667
3853855,-105.787
4204205,-105.595
4554556,-106.1706667
4904906,-103.2926667
5255256,-105.0196667
5605607,-107.2856667
5955957,-107.478
6306307,-108.0536667
6656658,-106.1346667
7007008,-107.6696667
7357358,-108.629
7707709,-108.0536667
8058059,-106.4826667
8408409,-108.5933333
8758760,-107.6336667
9109110,-106.6746667
9459460,-107.058
9809811,-107.25
10160161,-105.9066667
10510511,-106.0626667
10860862,-106.2546667
11211212,-104.9116667
11561563,-104.336
11911913,-102.8006667
12262263,-105.679
12612614,-105.4873333
12962964,-106.2186667
13313314,-104.4916667
13663665,-101.6136667
14014015,-102.765
14364365,-105.0673333
14714716,-104.4916667
15065066,-103.5323333
15415416,-102.729
15765767,-103.4963333
16116117,-106.3746667
16466467,-105.991
16816818,-105.991
17167168,-105.799
17517518,-103.6883333
17867869,-104.036
18218219,-106.9146667
18568570,-104.42
18918920,-105.955
19269270,-105.1873333
19619621,-105.7633333
19969971,-105.763
20320321,-104.7676667
20670672,-103.616
21021022,-104.7676667
21371372,-105.3436667
21721723,-104.384
22072073,-103.2323333
22422423,-105.1513333
22772774,-105.1153333
23123124,-105.883
23473474,-103.964
23823825,-104.5396667
24174175,-104.348
24524525,-105.3073333
24874876,-104.9233333
25225226,-105.8466667
25575577,-104.3116667
25925927,-103.5446667
26276277,-101.4336667
26626628,-101.4336667
26976978,-102.9686667
27327328,-100.4743333
27677679,-102.549
28028029,-103.5083333
28378379,-103.1246667
28728730,-103.5083333
29079080,-103.892
29429430,-103.5083333
29779781,-101.973
30130131,-102.897
30480481,-102.1293333
30830832,-100.9776667
31181182,-101.1696667
31531532,-100.786
31881883,-101.17
32232233,-99.82666667
32582583,-100.0186667
32932934,-97.524
33283284,-97.716
33633635,-99.443
33983985,-98.48366667
34334335,-98.67533333
34684686,-99.635
35035036,-99.635
35385386,-99.82666667
35735737,-100.0186667
36086087,-97.90766667
36436437,-96.75666667
36786788,-95.60533333
37137138,-95.60533333
37487488,-94.07033333
37837839,-92.15133333
38188189,-91.95966667
38538539,-92.34333333
38888890,-92.34333333
39239240,-91.61166667
39589590,-91.61166667
39939941,-91.99566667
40290291,-90.46033333
40640642,-90.07666667
40990992,-93.72233333
41341342,-90.84433333
41691693,-90.84433333
42042043,-90.84433333
42392393,-90.84433333
42742744,-89.501
43093094,-89.30933333
43443444,-90.26866667
43793795,-89.501
44144145,-88.73333333
44494495,-87.966
44844846,-89.117
45195196,-89.885
45545546,-88.54166667
45895897,-88.92533333
46246247,-88.92533333
46596597,-90.65233333
46946948,-90.46066667
47297298,-89.11733333
47647649,-91.22766667
47997999,-91.80366667
48348349,-89.693
48698700,-92.22333333
49049050,-90.30466667
49399400,-90.688
49749751,-90.68833333
50100101,-91.83966667
50450451,-91.83966667
50800802,-92.99066667
51151152,-92.41533333
51501502,-90.30466667
51851853,-93.183
52202203,-92.22366667
52552553,-90.11266667
52902904,-92.22333333
53253254,-92.03133333
53603604,-93.183
53953955,-93.75866667
54304305,-94.90966667
54654655,-94.718
55005006,-90.30466667
55355356,-94.334
55705707,-94.526
56056057,-89.92066667
56406407,-95.86933333
56756758,-93.75833333
57107108,-93.56666667
57457458,-96.445
57807809,-97.24833333
58158159,-94.17833333
58508509,-94.562
58858860,-95.90533333
59209210,-91.68366667
59559560,-93.986
59909911,-92.45133333
60260261,-93.60233333
60610611,-95.13733333
60960962,-97.82366667
61311312,-94.178
61661662,-97.44
62012013,-95.905
62362363,-94.37
62712714,-97.824
63063064,-97.056
63413414,-93.986
63763765,-92.06733333
64114115,-98.39966667
