Frequency (Hz),Magnitude (Log Mag dB)
350351,0
700702,0
1051052,0
1401402,0
1751753,0
2102103,0
2452453,0
2802804,0
3153154,0
3503504,0
3853855,0
4204205,0
4554556,0
4904906,0
5255256,0
5605607,0
5955957,0
6306307,0
6656658,0
7007008,0
7357358,0
7707709,0
8058059,0
8408409,0
8758760,0
9109110,0
9459460,0
9809811,0
10160161,0
10510511,0
10860862,0
11211212,0
11561563,0
11911913,0
12262263,0
12612614,0
12962964,0
13313314,0
13663665,0
14014015,0
14364365,0
14714716,0
15065066,0
15415416,0
15765767,0
16116117,0
16466467,0
16816818,0
17167168,0
17517518,0
17867869,0
18218219,0
18568570,0
18918920,0
19269270,0
19619621,0
19969971,0
20320321,0
20670672,0
21021022,0
21371372,0
21721723,0
22072073,0
22422423,0
22772774,0
23123124,0
23473474,0
23823825,0
24174175,0
24524525,0
24874876,0
25225226,0
25575577,0
25925927,0
26276277,0
26626628,0
26976978,0
27327328,0
27677679,0
28028029,0
28378379,0
28728730,0
29079080,0
29429430,0
29779781,0
30130131,0
30480481,0
30830832,0
31181182,0
31531532,0
31881883,0
32232233,0
32582583,0
32932934,0
33283284,0
33633635,0
33983985,0
34334335,0
34684686,0
35035036,0
35385386,0
35735737,0
36086087,0
36436437,0
36786788,0
37137138,0
37487488,0
37837839,0
38188189,0
38538539,0
38888890,0
39239240,0
39589590,0
39939941,0
40290291,0
40640642,0
40990992,0
41341342,0
41691693,0
42042043,0
42392393,0
42742744,0
43093094,0
43443444,0
43793795,0
44144145,0
44494495,0
44844846,0
45195196,0
45545546,0
45895897,0
46246247,0
46596597,0
46946948,0
47297298,0
47647649,0
47997999,0
48348349,0
48698700,0
49049050,0
49399400,0
49749751,0
50100101,0
50450451,0
50800802,0
51151152,0
51501502,0
51851853,0
52202203,0
52552553,0
52902904,0
53253254,0
53603604,0
53953955,0
54304305,0
54654655,0
55005006,0
55355356,0
55705707,0
56056057,0
56406407,0
56756758,0
57107108,0
57457458,0
57807809,0
58158159,0
58508509,0
58858860,0
59209210,0
59559560,0
59909911,0
60260261,0
60610611,0
60960962,0
61311312,0
61661662,0
62012013,0
62362363,0
62712714,0
63063064,0
63413414,0
63763765,0
64114115,0
64464465,0
64814816,0
65165166,0
65515516,0
65865867,0
66216217,0
66566567,0
66916918,0
67267268,0
67617618,0
67967969,0
68318319,0
68668669,0
69019020,0
69369370,0
69719721,0
70070071,0
70420421,0
70770772,0
71121122,0
71471472,0
71821823,0
72172173,0
72522523,0
72872874,0
73223224,0
73573574,0
73923925,0
74274275,0
74624625,0
74974976,0
75325326,0
75675676,0
76026027,0
76376377,0
76726728,0
77077078,0
77427428,0
77777779,0
78128129,0
78478479,0
78828830,0
79179180,0
79529530,0
79879881,0
80230231,0
80580581,0
80930932,0
81281282,0
81631632,0
81981983,0
82332333,0
82682683,0
83033034,0
83383384,0
83733734,0
84084085,0
84434435,0
84784786,0
85135136,0
85485486,0
85835837,0
86186187,0
86536537,0
86886888,0
87237238,0
87587588,0
87937939,0
88288289,0
88638639,0
88988990,0
89339340,0
89689690,0
90040041,0
90390391,0
90740741,0
91091092,0
91441442,0
91791793,0
92142143,0
92492493,0
92842844,0
93193194,0
93543544,0
93893895,0
94244245,0
94594595,0
94944946,0
95295296,0
95645646,0
95995997,0
96346347,0
96696697,0
97047048,0
97397398,0
97747748,0
98098099,0
98448449,0
98798800,0
99149150,0
99499500,0
99849851,0
100200201,0
100550551,0
100900902,0
101251252,0
101601602,0
101951953,0
102302303,0
102652653,0
103003004,0
103353354,0
103703704,0
104054055,0
104404405,0
104754755,0
105105106,0
105455456,0
105805807,0
106156157,0
106506507,0
106856858,0
107207208,0
107557558,0
107907909,0
108258259,0
108608609,0
108958960,0
109309310,0
109659660,0
110010011,0
110360361,0
110710711,0
111061062,0
111411412,0
111761762,0
112112113,0
112462463,0
112812813,0
113163164,0
113513514,0
113863865,0
114214215,0
114564565,0
114914916,0
115265266,0
115615616,0
115965967,0
116316317,0
