Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.554
700702,-88.55333333
1051052,-91.23966667
1401402,-91.62366667
1751753,-104.288
2102103,-105.2473333
2452453,-105.2473333
2802804,-106.0146667
3153154,-106.5543333
3503504,-107.322
3853855,-106.746
4204205,-106.9383333
4554556,-106.3626667
4904906,-106.7466667
5255256,-107.322
5605607,-107.6696667
5955957,-108.2453333
6306307,-106.9023333
6656658,-108.629
7007008,-108.4373333
7357358,-106.5183333
7707709,-109.3966667
8058059,-107.058
8408409,-108.4013333
8758760,-108.5933333
9109110,-107.4416667
9459460,-107.442
9809811,-106.6743333
10160161,-105.9066667
10510511,-107.214
10860862,-105.679
11211212,-106.2546667
11561563,-104.528
11911913,-106.0626667
12262263,-105.1033333
12612614,-107.406
12962964,-106.7943333
13313314,-105.643
13663665,-102.1893333
14014015,-101.038
14364365,-106.4103333
14714716,-105.643
15065066,-102.3813333
15415416,-101.0016667
15765767,-100.8103333
16116117,-101.5776667
16466467,-105.4153333
16816818,-105.799
17167168,-105.799
17517518,-101.5776667
17867869,-101.5416667
18218219,-102.693
18568570,-105.1873333
18918920,-104.42
19269270,-104.9956667
19619621,-104.9953333
19969971,-105.3793333
20320321,-105.1513333
20670672,-105.5353333
21021022,-104.192
21371372,-103.6163333
21721723,-104.192
22072073,-103.0406667
22422423,-102.849
22772774,-104.7316667
23123124,-105.3073333
23473474,-104.9236667
23823825,-103.1966667
24174175,-103.0046667
24524525,-102.0453333
24874876,-102.2373333
25225226,-102.3933333
25575577,-101.0503333
25925927,-101.242
26276277,-100.858
26626628,-100.8583333
26976978,-101.8173333
27327328,-100.666
27677679,-102.165
28028029,-102.1653333
28378379,-100.6303333
28728730,-102.5486667
29079080,-103.1246667
29429430,-105.2353333
29779781,-104.276
30130131,-101.9373333
30480481,-102.705
30830832,-99.44266667
31181182,-97.90766667
31531532,-97.14066667
31881883,-95.02966667
32232233,-96.94833333
32582583,-95.02933333
32932934,-95.02933333
33283284,-92.535
33633635,-91.57566667
33983985,-93.68633333
34334335,-93.49433333
34684686,-93.11066667
35035036,-93.30266667
35385386,-93.49433333
35735737,-93.878
36086087,-94.262
36436437,-95.22166667
36786788,-93.878
37137138,-93.11066667
37487488,-91.95933333
37837839,-91.57566667
38188189,-91.57566667
38538539,-92.343
38888890,-91
39239240,-91.61166667
39589590,-92.37933333
39939941,-92.57133333
40290291,-93.53033333
40640642,-93.53066667
40990992,-93.72233333
41341342,-92.571
41691693,-94.87366667
42042043,-94.48966667
42392393,-94.682
42742744,-95.25733333
43093094,-94.68166667
43443444,-95.833
43793795,-95.833
44144145,-94.68166667
44494495,-95.06533333
44844846,-95.44966667
45195196,-95.641
45545546,-95.64133333
45895897,-96.217
46246247,-96.217
46596597,-97.17666667
46946948,-95.833
47297298,-96.98466667
47647649,-96.60066667
47997999,-97.36833333
48348349,-96.40866667
48698700,-96.63666667
49049050,-96.06066667
49399400,-96.061
49749751,-96.253
50100101,-95.48566667
50450451,-97.02033333
50800802,-95.67733333
51151152,-94.33433333
51501502,-95.29333333
51851853,-96.63666667
52202203,-97.02033333
52552553,-97.788
52902904,-98.55533333
53253254,-97.40433333
53603604,-98.74733333
53953955,-98.17166667
54304305,-94.90966667
54654655,-98.36366667
55005006,-96.63666667
55355356,-99.131
55705707,-97.02033333
56056057,-97.788
56406407,-98.36366667
56756758,-97.02033333
57107108,-96.82833333
57457458,-94.14233333
