Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.362
700702,-88.16966667
1051052,-90.85633333
1401402,-89.897
1751753,-103.5203333
2102103,-103.5203333
2452453,-100.2583333
2802804,-103.904
3153154,-104.2516667
3503504,-103.8683333
3853855,-103.4843333
4204205,-103.4846667
4554556,-105.2113333
4904906,-105.5953333
5255256,-105.4033333
5605607,-106.7103333
5955957,-101.3376667
6306307,-104.9836667
6656658,-106.5183333
7007008,-106.135
7357358,-107.094
7707709,-107.0943333
8058059,-107.0583333
8408409,-108.0173333
8758760,-106.8663333
9109110,-103.988
9459460,-105.9073333
9809811,-106.0986667
10160161,-104.5636667
10510511,-105.4873333
10860862,-104.7196667
11211212,-104.5276667
11561563,-104.5276667
11911913,-105.1033333
12262263,-106.4463333
12612614,-104.5276667
12962964,-105.643
13313314,-103.3406667
13663665,-105.0673333
14014015,-103.7243333
14364365,-104.8753333
14714716,-104.8753333
15065066,-105.2596667
15415416,-103.3043333
15765767,-102.3453333
16116117,-106.183
16466467,-105.4153333
16816818,-106.1826667
17167168,-105.2236667
17517518,-106.3746667
17867869,-105.571
18218219,-106.3386667
18568570,-103.4606667
18918920,-105.763
19269270,-103.844
19619621,-104.0363333
19969971,-104.9956667
20320321,-104.384
20670672,-102.465
21021022,-101.6973333
21371372,-104.0003333
21721723,-105.7273333
22072073,-102.2733333
22422423,-105.343
22772774,-105.4993333
23123124,-104.348
23473474,-101.6616667
23823825,-102.8126667
24174175,-104.5396667
24524525,-104.3476667
24874876,-104.348
25225226,-105.4633333
25575577,-102.0093333
25925927,-101.242
26276277,-103.928
26626628,-102.201
26976978,-100.6663333
27327328,-100.4743333
27677679,-103.3163333
28028029,-102.1653333
28378379,-101.9733333
28728730,-101.9733333
29079080,-101.7813333
29429430,-101.2056667
29779781,-101.3976667
30130131,-101.5536667
30480481,-99.635
30830832,-98.867
31181182,-99.82666667
31531532,-100.4023333
31881883,-99.251
32232233,-100.2103333
32582583,-97.33233333
32932934,-100.9783333
33283284,-98.86733333
33633635,-96.94833333
33983985,-98.29166667
34334335,-102.321
34684686,-102.705
35035036,-104.24
35385386,-102.7046667
35735737,-100.2103333
36086087,-100.786
36436437,-97.524
36786788,-97.14033333
37137138,-97.524
37487488,-97.908
37837839,-95.989
38188189,-95.797
38538539,-98.86733333
38888890,-97.14033333
39239240,-96.40866667
39589590,-94.49
39939941,-96.79266667
40290291,-96.60066667
40640642,-96.217
40990992,-99.47866667
41341342,-98.136
41691693,-99.095
42042043,-99.671
42392393,-99.479
42742744,-97.36833333
43093094,-98.51933333
43443444,-96.217
43793795,-95.06566667
44144145,-95.06533333
44494495,-95.06566667
44844846,-96.217
45195196,-94.48966667
45545546,-96.40866667
45895897,-95.06533333
46246247,-94.106
46596597,-97.36833333
46946948,-94.682
47297298,-95.06566667
47647649,-98.903
47997999,-99.09533333
48348349,-99.863
48698700,-96.82833333
49049050,-99.515
49399400,-99.51466667
49749751,-98.36366667
50100101,-97.97966667
50450451,-98.74733333
50800802,-97.02033333
51151152,-98.172
51501502,-97.98
51851853,-95.48533333
52202203,-95.869
52552553,-97.212
52902904,-95.48533333
53253254,-93.75833333
53603604,-96.44466667
53953955,-96.82833333
54304305,-94.71766667
54654655,-96.63666667
55005006,-100.0906667
55355356,-100.474
55705707,-97.788
56056057,-97.98
56406407,-100.0906667
56756758,-99.323
57107108,-99.13133333
57457458,-100.2823333
57807809,-102.2373333
58158159,-100.318
58508509,-100.894
58858860,-101.0856667
59209210,-101.6616667
59559560,-94.75366667
59909911,-97.632
60260261,-97.05633333
60610611,-97.24833333
60960962,-99.74266667
61311312,-99.93433333
61661662,-98.39966667
62012013,-100.3183333
62362363,-101.6616667
62712714,-98.59133333
63063064,-97.632
63413414,-98.78333333
63763765,-100.51
64114115,-100.318
64464465,-101.4693333
64814816,-104.9233333
65165166,-104.348
65515516,-102.621
65865867,-101.086
66216217,-103.58
66566567,-102.429
66916918,-102.273
67267268,-102.8486667
67617618,-104
67967969,-104.384
68318319,-105.1516667
68668669,-103.2323333
69019020,-102.273
69369370,-103.4246667
69719721,-104.192
70070071,-101.3136667
70420421,-104.9596667
70770772,-105.1516667
71121122,-105.727
71471472,-103.2326667
71821823,-104.5756667
72172173,-105.7273333
72522523,-105.1516667
72872874,-101.5056667
73223224,-102.081
73573574,-100.5463333
73923925,-104.192
74274275,-105.727
74624625,-106.8783333
74974976,-106.3026667
75325326,-105.727
75675676,-107.0703333
76026027,-104.42
76376377,-105.955
76726728,-106.7223333
77077078,-106.7226667
77427428,-107.106
77777779,-108.2573333
78128129,-107.49
78478479,-106.5306667
78828830,-107.49
79179180,-106.9143333
79529530,-103.2686667
79879881,-105.3793333
80230231,-103.2686667
80580581,-105.1873333
80930932,-106.1466667
81281282,-106.5306667
81631632,-106.9146667
81981983,-107.2983333
82332333,-107.1063333
82682683,-103.4603333
83033034,-104.036
83383384,-102.309
83733734,-104.9956667
84084085,-106.147
84434435,-107.298
84784786,-107.6816667
85135136,-107.1423333
85485486,-108.1013333
85835837,-105.0313333
86186187,-102.7286667
86536537,-103.8803333
86886888,-105.2233333
87237238,-106.567
87587588,-106.9506667
87937939,-106.183
88288289,-107.142
88638639,-105.991
88988990,-106.5666667
89339340,-106.5666667
89689690,-105.7993333
90040041,-101.9613333
90390391,-82.38933333
90740741,-82.38933333
91091092,-105.7993333
91441442,-107.1423333
91791793,-96.01266667
92142143,-95.62933333
92492493,-100.0426667
92842844,-96.013
93193194,-97.548
93543544,-94.67
93893895,-94.86166667
94244245,-105.991
94594595,-107.37
94944946,-100.462
95295296,-97.2
95645646,-103.5323333
95995997,-106.2186667
96346347,-104.8753333
96696697,-104.8756667
97047048,-106.4103333
97397398,-106.4106667
97747748,-106.027
98098099,-98.16
98448449,-96.62466667
98798800,-101.6136667
99149150,-106.2186667
99499500,-106.219
99849851,-105.259
100200201,-106.4103333
100550551,-107.9453333
100900902,-106.794
101251252,-107.7536667
101601602,-109.2886667
101951953,-94.70566667
102302303,-88.37366667
102652653,-87.41466667
103003004,-105.259
103353354,-104.108
103703704,-86.107
104054055,-87.06633333
104404405,-104.9116667
104754755,-92.05533333
105105106,-91.67166667
105455456,-104.9116667
105805807,-106.4466667
106156157,-104.144
106506507,-104.336
106856858,-102.8006667
107207208,-102.033
107557558,-106.8303333
107907909,-105.1036667
108258259,-105.1033333
108608609,-106.8303333
108958960,-107.214
109309310,-106.8303333
109659660,-106.2546667
110010011,-105.871
110360361,-106.0626667
110710711,-107.9813333
111061062,-106.6386667
111411412,-105.1033333
111761762,-105.679
112112113,-103.5686667
112462463,-105.1033333
112812813,-103.796
113163164,-103.6043333
113513514,-103.2206667
113863865,-105.331
114214215,-104.372
114564565,-103.6046667
114914916,-105.7146667
115265266,-106.2906667
115615616,-105.5233333
115965967,-104.7556667
116316317,-106.2906667
116666667,-107.442
117017018,-105.523
117367368,-106.4826667
117717718,-107.8253333
118068069,-105.5233333
118418419,-104.7556667
118768769,-101.11
119119120,-99.95866667
119469470,-99.95833333
119819820,-102.6446667
120170171,-103.6043333
120520521,-102.2613333
120870872,-103.6043333
121221222,-102.837
121571572,-103.6043333
