Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-88.36166667
1051052,-90.66433333
1401402,-91.04833333
1751753,-104.4796667
2102103,-104.6716667
2452453,-106.2066667
2802804,-105.631
3153154,-106.938
3503504,-107.1303333
3853855,-107.514
4204205,-107.514
4554556,-107.5136667
4904906,-107.5136667
5255256,-108.0896667
5605607,-107.8616667
5955957,-108.0533333
6306307,-107.8616667
6656658,-108.6293333
7007008,-108.437
7357358,-108.4373333
7707709,-108.0533333
8058059,-108.7853333
8408409,-108.2093333
8758760,-108.977
9109110,-107.8256667
9459460,-107.442
9809811,-107.6336667
10160161,-108.2093333
10510511,-109.7086667
10860862,-107.7896667
11211212,-108.749
11561563,-107.2143333
11911913,-107.0223333
12262263,-107.406
12612614,-108.557
12962964,-107.562
13313314,-107.3696667
13663665,-107.562
14014015,-107.5616667
14364365,-107.5616667
14714716,-105.451
15065066,-104.492
15415416,-101.7693333
15765767,-103.8803333
16116117,-107.9096667
16466467,-106.1826667
16816818,-108.485
17167168,-107.9096667
17517518,-103.8803333
17867869,-100.39
18218219,-102.309
18568570,-108.0656667
18918920,-107.874
19269270,-108.4493333
19619621,-108.6413333
19969971,-107.1063333
20320321,-107.0703333
20670672,-106.6866667
21021022,-106.8783333
21371372,-99.77866667
21721723,-97.28433333
22072073,-105.727
22422423,-108.0293333
22772774,-108.1856667
23123124,-107.418
23473474,-107.418
23823825,-105.4993333
24174175,-106.8423333
24524525,-106.0746667
24874876,-107.9936667
25225226,-108.533
25575577,-107.574
25925927,-106.6146667
26276277,-107.19
26626628,-104.8873333
26976978,-106.039
27327328,-104.6956667
27677679,-105.811
28028029,-105.6193333
28378379,-105.4273333
28728730,-105.4273333
29079080,-107.7296667
29429430,-107.73
29779781,-108.3056667
30130131,-108.2696667
30480481,-107.31
30830832,-105.967
31181182,-104.24
31531532,-104.048
31881883,-103.856
32232233,-104.24
32582583,-106.5426667
32932934,-102.7046667
33283284,-103.6643333
33633635,-104.048
33983985,-105.1993333
34334335,-104.8156667
34684686,-104.048
35035036,-105.583
35385386,-107.31
35735737,-105.391
36086087,-105.967
36436437,-104.6236667
36786788,-104.6236667
37137138,-104.4316667
37487488,-103.2803333
37837839,-104.6233333
38188189,-101.9373333
38538539,-103.0886667
38888890,-103.2806667
39239240,-102.1653333
39589590,-101.3976667
39939941,-101.3976667
40290291,-101.5893333
40640642,-103.892
40990992,-102.741
41341342,-104.468
41691693,-103.7003333
42042043,-102.357
42392393,-101.7813333
42742744,-99.479
43093094,-98.328
43443444,-99.47866667
43793795,-99.479
44144145,-96.98433333
44494495,-97.17633333
44844846,-97.56033333
45195196,-95.64133333
45545546,-95.83333333
45895897,-96.98466667
46246247,-96.025
46596597,-92.95466667
46946948,-96.21666667
47297298,-93.722
47647649,-96.025
47997999,-93.53066667
48348349,-95.06566667
48698700,-98.55566667
49049050,-96.63666667
49399400,-95.869
49749751,-95.869
50100101,-95.48566667
50450451,-93.18266667
50800802,-94.718
51151152,-94.718
51501502,-97.40433333
51851853,-94.526
52202203,-93.75833333
52552553,-94.90966667
52902904,-90.49633333
53253254,-90.88033333
53603604,-89.537
53953955,-89.729
54304305,-93.75833333
54654655,-92.991
55005006,-92.415
55355356,-93.37466667
55705707,-95.67733333
56056057,-97.404
56406407,-91.264
56756758,-94.526
57107108,-93.75866667
57457458,-94.526
57807809,-93.60266667
58158159,-94.37
58508509,-93.60266667
58858860,-95.52133333
59209210,-92.45133333
59559560,-92.835
59909911,-89.573
60260261,-91.87533333
60610611,-91.68366667
60960962,-94.94566667
61311312,-94.754
61661662,-96.48066667
62012013,-95.32966667
62362363,-94.56166667
62712714,-91.3
63063064,-95.905
63413414,-97.05666667
63763765,-97.44
64114115,-96.481
64464465,-97.824
64814816,-99.93466667
65165166,-99.93466667
65515516,-96.86433333
65865867,-97.248
66216217,-88.80533333
66566567,-97.05633333
66916918,-98.05166667
67267268,-99.97066667
67617618,-102.081
67967969,-101.3136667
68318319,-100.7383333
68668669,-101.122
69019020,-96.133
69369370,-93.44666667
69719721,-96.517
70070071,-102.657
70420421,-105.3433333
70770772,-102.4646667
71121122,-103.8083333
71471472,-100.1623333
71821823,-102.849
72172173,-101.5056667
72522523,-97.66833333
72872874,-97.284
73223224,-100.93
73573574,-102.0813333
73923925,-103.8083333
74274275,-104
74624625,-105.3433333
74974976,-104.7676667
75325326,-104.192
75675676,-102.0813333
76026027,-98.27933333
76376377,-100.3903333
76726728,-105.3793333
77077078,-106.9143333
77427428,-105.1873333
77777779,-106.5306667
78128129,-106.1466667
78478479,-106.5306667
78828830,-104.9956667
79179180,-100.966
79529530,-103.4606667
79879881,-105.3793333
80230231,-104.9953333
80580581,-104.0363333
80930932,-106.147
81281282,-106.7223333
81631632,-107.49
81981983,-106.9143333
82332333,-104.8033333
82682683,-104.4196667
83033034,-103.2686667
83383384,-103.8443333
83733734,-103.6523333
84084085,-106.3386667
84434435,-107.298
84784786,-105.3793333
85135136,-106.3746667
85485486,-107.142
85835837,-105.799
86186187,-103.4963333
86536537,-105.2233333
86886888,-106.5666667
87237238,-105.4156667
87587588,-107.142
87937939,-107.5256667
88288289,-106.183
88638639,-106.1826667
88988990,-104.2636667
89339340,-103.8803333
89689690,-103.6883333
90040041,-107.1423333
90390391,-104.0723333
90740741,-104.6476667
91091092,-107.526
91441442,-107.718
91791793,-89.297
92142143,-88.146
92492493,-90.832
92842844,-90.832
93193194,-91.59966667
93543544,-87.762
93893895,-88.33766667
94244245,-107.5263333
94594595,-104.4916667
94944946,-85.112
95295296,-84.91966667
95645646,-102.381
95995997,-106.027
96346347,-106.6023333
96696697,-107.562
97047048,-107.5616667
97397398,-108.1373333
97747748,-108.905
98098099,-85.68766667
98448449,-83.96033333
98798800,-84.53633333
99149150,-106.7943333
99499500,-106.7943333
99849851,-107.5616667
100200201,-106.0266667
100550551,-106.7943333
100900902,-108.521
101251252,-106.7943333
101601602,-107.37
101951953,-95.28166667
102302303,-89.71666667
102652653,-91.252
103003004,-107.9453333
103353354,-103.7243333
103703704,-87.25866667
104054055,-87.45033333
104404405,-107.598
104754755,-87.45
105105106,-88.21766667
105455456,-105.487
105805807,-107.214
106156157,-106.0626667
106506507,-105.871
106856858,-106.8303333
107207208,-104.144
107557558,-103.3766667
107907909,-107.0223333
108258259,-106.6383333
108608609,-107.2136667
108958960,-106.4466667
109309310,-107.5976667
