Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-88.362
1051052,-90.664
1401402,-91.81566667
1751753,-103.3286667
2102103,-105.247
2452453,-105.823
2802804,-105.823
3153154,-104.6353333
3503504,-105.9786667
3853855,-105.0193333
4204205,-106.5543333
4554556,-106.3623333
4904906,-107.8976667
5255256,-107.13
5605607,-107.094
5955957,-108.6293333
6306307,-107.0943333
6656658,-106.9026667
7007008,-108.0536667
7357358,-107.8616667
7707709,-107.8616667
8058059,-106.6743333
8408409,-107.25
8758760,-106.866
9109110,-106.8666667
9459460,-107.0583333
9809811,-106.6743333
10160161,-105.3313333
10510511,-106.255
10860862,-105.679
11211212,-104.528
11561563,-106.4463333
11911913,-105.871
12262263,-106.6386667
12612614,-106.4463333
12962964,-106.7943333
13313314,-106.0266667
13663665,-106.2186667
14014015,-105.643
14364365,-105.4513333
14714716,-105.4513333
15065066,-104.8756667
15415416,-103.8803333
15765767,-104.456
16116117,-104.264
16466467,-104.264
16816818,-104.8396667
17167168,-105.4153333
17517518,-105.6073333
17867869,-106.339
18218219,-107.106
18568570,-107.6816667
18918920,-106.7223333
19269270,-105.9553333
19619621,-105.955
19969971,-105.3793333
20320321,-105.919
20670672,-104.1916667
21021022,-104.5756667
21371372,-103.8083333
21721723,-104.192
22072073,-104.9596667
22422423,-104.9596667
22772774,-104.9236667
23123124,-105.8833333
23473474,-104.9236667
23823825,-104.348
24174175,-103.5803333
24524525,-103.964
24874876,-104.7316667
25225226,-105.4633333
25575577,-104.5036667
25925927,-103.7363333
26276277,-103.736
26626628,-103.9283333
26976978,-104.312
27327328,-103.736
27677679,-102.7406667
28028029,-103.1246667
28378379,-102.549
28728730,-101.9733333
29079080,-105.0433333
29429430,-105.2353333
29779781,-105.4273333
30130131,-103.664
30480481,-103.6643333
30830832,-103.0886667
31181182,-101.9373333
31531532,-102.8966667
31881883,-101.9373333
32232233,-101.1696667
32582583,-101.5533333
32932934,-101.9373333
33283284,-102.5126667
33633635,-100.2103333
33983985,-99.82666667
34334335,-101.7453333
34684686,-100.786
35035036,-100.9776667
35385386,-101.937
35735737,-100.978
36086087,-101.17
36436437,-99.827
36786788,-99.251
37137138,-99.251
37487488,-96.56466667
37837839,-95.989
38188189,-95.41333333
38538539,-95.02966667
38888890,-95.02933333
39239240,-94.106
39589590,-92.763
39939941,-93.53066667
40290291,-93.33866667
40640642,-93.53066667
40990992,-93.91433333
41341342,-93.91433333
41691693,-92.571
42042043,-91.228
42392393,-91.036
42742744,-89.693
43093094,-89.88466667
43443444,-88.15766667
43793795,-86.43066667
44144145,-86.623
44494495,-85.47166667
44844846,-84.512
45195196,-84.704
45545546,-83.93666667
45895897,-84.32
46246247,-84.32033333
46596597,-84.32
46946948,-84.12833333
47297298,-83.169
47647649,-83.93666667
47997999,-82.78533333
48348349,-83.93633333
48698700,-84.93166667
49049050,-85.50733333
49399400,-85.699
49749751,-85.69933333
50100101,-84.35633333
50450451,-84.74
50800802,-84.35633333
51151152,-81.094
51501502,-83.397
51851853,-80.902
52202203,-83.20466667
52552553,-83.013
52902904,-82.43733333
53253254,-83.013
53603604,-82.82133333
53953955,-84.548
54304305,-84.356
54654655,-84.93166667
55005006,-83.205
55355356,-85.31566667
55705707,-84.356
56056057,-85.69966667
56406407,-86.467
56756758,-83.78033333
57107108,-85.12366667
57457458,-82.43733333
57807809,-81.89766667
58158159,-80.74633333
58508509,-81.70566667
58858860,-82.66533333
59209210,-83.62466667
59559560,-84.584
59909911,-81.89733333
60260261,-80.93833333
60610611,-84.39233333
60960962,-83.62433333
61311312,-84.584
61661662,-83.24066667
62012013,-86.69466667
62362363,-88.61366667
62712714,-90.724
63063064,-90.91633333
63413414,-85.92733333
63763765,-87.84566667
64114115,-85.54366667
64464465,-90.53233333
64814816,-86.50266667
65165166,-89.38133333
65515516,-89.18933333
65865867,-88.61366667
66216217,-89.76466667
66566567,-87.27033333
66916918,-90.37633333
67267268,-88.64933333
67617618,-91.52766667
67967969,-87.49833333
68318319,-93.25466667
68668669,-92.871
69019020,-95.17333333
69369370,-95.17366667
69719721,-97.09233333
70070071,-96.90033333
70420421,-95.941
70770772,-94.02233333
71121122,-94.02233333
71471472,-92.10333333
71821823,-96.133
72172173,-97.86
72522523,-98.052
72872874,-97.86
73223224,-92.10333333
73573574,-97.668
73923925,-94.98166667
74274275,-99.395
74624625,-95.17366667
74974976,-99.97066667
75325326,-100.93
75675676,-101.8893333
76026027,-101.5416667
76376377,-102.1173333
76726728,-102.3093333
77077078,-102.8846667
77427428,-96.36066667
77777779,-102.6926667
78128129,-98.66333333
78478479,-102.693
78828830,-102.1173333
79179180,-103.844
79529530,-103.2686667
79879881,-98.47133333
80230231,-100.7743333
80580581,-97.32033333
80930932,-97.32
