Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.362
700702,-87.594
1051052,-90.08866667
1401402,-91.24
1751753,-100.2586667
2102103,-101.4096667
2452453,-101.7933333
2802804,-101.026
3153154,-102.9086667
3503504,-102.7166667
3853855,-101.1816667
4204205,-99.455
4554556,-103.101
4904906,-102.525
5255256,-105.2113333
5605607,-103.2566667
5955957,-105.175
6306307,-103.6403333
6656658,-105.1756667
7007008,-106.7106667
7357358,-103.0646667
7707709,-101.9133333
8058059,-107.442
8408409,-105.7153333
8758760,-105.1393333
9109110,-105.9066667
9459460,-104.372
9809811,-105.1393333
10160161,-104.5636667
10510511,-104.9113333
10860862,-101.074
11211212,-101.6496667
11561563,-102.8006667
11911913,-103.5683333
12262263,-103.1846667
12612614,-105.1036667
12962964,-106.9863333
13313314,-105.835
13663665,-104.2996667
14014015,-104.1083333
14364365,-104.3
14714716,-105.259
15065066,-102.9566667
15415416,-101.5776667
15765767,-103.1126667
16116117,-106.183
16466467,-103.3046667
16816818,-105.0313333
17167168,-105.6073333
17517518,-101.5773333
17867869,-97.51233333
18218219,-99.23933333
18568570,-104.9956667
18918920,-105.379
19269270,-102.3093333
19619621,-102.3093333
19969971,-104.228
20320321,-103.0406667
20670672,-103.2326667
21021022,-102.8486667
21371372,-101.3136667
21721723,-102.2733333
22072073,-102.2733333
22422423,-105.343
22772774,-104.3476667
23123124,-104.7316667
23473474,-104.156
23823825,-102.813
24174175,-103.3886667
24524525,-103.7723333
24874876,-103.9643333
25225226,-104.12
25575577,-103.5443333
25925927,-101.05
26276277,-100.0903333
26626628,-100.858
26976978,-99.89866667
27327328,-102.201
27677679,-105.4273333
28028029,-100.6303333
28378379,-100.0546667
28728730,-101.206
29079080,-103.1246667
29429430,-102.7406667
29779781,-102.1653333
30130131,-101.7456667
30480481,-102.129
30830832,-98.867
31181182,-94.454
31531532,-93.87833333
31881883,-94.83766667
32232233,-96.18066667
32582583,-96.75666667
32932934,-98.86733333
33283284,-94.45366667
33633635,-95.60533333
33983985,-94.262
34334335,-94.83766667
34684686,-100.0186667
35035036,-98.09966667
35385386,-96.94833333
35735737,-96.75666667
36086087,-95.797
36436437,-95.60533333
36786788,-94.646
37137138,-95.41333333
37487488,-93.68666667
37837839,-91
38188189,-93.87833333
38538539,-92.15133333
38888890,-93.11066667
39239240,-91.99533333
39589590,-92.571
39939941,-96.601
40290291,-95.25733333
40640642,-95.06566667
40990992,-96.98466667
41341342,-100.2466667
41691693,-94.48966667
42042043,-97.752
42392393,-96.79266667
42742744,-95.833
43093094,-96.60066667
43443444,-99.09533333
43793795,-96.217
44144145,-98.136
44494495,-96.60066667
44844846,-93.72233333
45195196,-97.56
45545546,-93.722
45895897,-95.25733333
46246247,-96.217
46596597,-97.368
46946948,-96.21666667
47297298,-98.328
47647649,-101.3976667
47997999,-101.014
48348349,-99.287
48698700,-98.17166667
49049050,-95.677
49399400,-97.98
49749751,-97.98
50100101,-98.55533333
50450451,-95.48533333
50800802,-97.21233333
51151152,-95.67733333
51501502,-95.29333333
51851853,-95.869
52202203,-93.75833333
52552553,-92.03133333
52902904,-94.142
53253254,-95.10166667
53603604,-97.02066667
53953955,-96.44466667
54304305,-95.48533333
54654655,-92.415
55005006,-99.323
55355356,-96.445
55705707,-89.345
56056057,-96.253
56406407,-96.82866667
56756758,-97.596
57107108,-99.13133333
57457458,-99.707
57807809,-93.79433333
58158159,-93.60233333
58508509,-94.37033333
58858860,-92.451
59209210,-93.794
59559560,-94.75366667
59909911,-93.98633333
60260261,-91.87566667
60610611,-94.56166667
60960962,-90.724
61311312,-91.108
61661662,-94.37
62012013,-92.06733333
62362363,-94.94566667
62712714,-95.52133333
63063064,-96.289
63413414,-96.28866667
63763765,-99.35933333
64114115,-96.09733333
64464465,-93.79433333
64814816,-98.01566667
65165166,-90.91633333
65515516,-88.42166667
65865867,-97.248
66216217,-98.20766667
66566567,-97.82366667
66916918,-100.93
67267268,-99.97066667
67617618,-94.40566667
67967969,-98.05166667
68318319,-101.3136667
68668669,-91.528
69019020,-99.58666667
69369370,-99.97033333
69719721,-100.1623333
70070071,-102.0813333
70420421,-102.849
70770772,-98.819
71121122,-101.5056667
71471472,-102.657
71821823,-94.214
72172173,-92.679
72522523,-102.657
72872874,-101.5056667
73223224,-100.93
73573574,-101.889
73923925,-102.849
74274275,-99.58666667
74624625,-102.465
74974976,-101.5056667
75325326,-97.09233333
75675676,-104.3836667
76026027,-104.2283333
76376377,-104.42
76726728,-105.955
77077078,-104.4196667
77427428,-102.1173333
77777779,-100.966
78128129,-107.106
78478479,-106.5306667
78828830,-96.74466667
79179180,-104.8036667
79529530,-104.8036667
79879881,-104.612
80230231,-105.955
80580581,-105.5713333
80930932,-102.693
81281282,-104.8036667
81631632,-105.5713333
81981983,-98.27966667
82332333,-103.844
82682683,-106.3386667
83033034,-107.106
83383384,-104.612
83733734,-105.3793333
84084085,-104.42
84434435,-102.693
84784786,-106.7226667
85135136,-107.1423333
85485486,-100.4263333
85835837,-105.0316667
86186187,-105.2236667
86536537,-106.1826667
86886888,-106.7586667
87237238,-106.9503333
87587588,-103.3046667
87937939,-105.799
88288289,-105.799
88638639,-99.85033333
88988990,-99.46666667
89339340,-104.4556667
89689690,-106.5666667
90040041,-107.3343333
90390391,-105.0316667
90740741,-105.4153333
91091092,-106.3743333
91441442,-107.3343333
91791793,-96.205
92142143,-96.97266667
92492493,-100.0426667
92842844,-99.27533333
93193194,-101.1936667
93543544,-102.921
93893895,-104.264
94244245,-104.6476667
94594595,-105.0673333
94944946,-99.69466667
95295296,-101.4216667
95645646,-102.381
95995997,-106.794
96346347,-106.4103333
96696697,-105.4513333
97047048,-107.9453333
97397398,-107.9456667
97747748,-103.916
98098099,-100.0786667
98448449,-99.50266667
98798800,-99.11933333
99149150,-105.643
99499500,-107.3696667
99849851,-106.9863333
