Frequency (Hz),Magnitude (Log Mag dB)
351150,-36.17
701499,-84.14033333
1051849,-87.40233333
1402198,-87.594
1752548,-89.705
2102897,-88.17
2453247,-91.62366667
2803596,-89.12933333
3153946,-91.20366667
3504295,-90.62833333
3854645,-90.053
4204995,-89.28533333
4555344,-89.477
4905694,-92.16333333
5256043,-92.16333333
5606393,-91.93566667
5956742,-92.511
6307092,-95.58133333
6657441,-96.157
7007791,-97.30833333
7358141,-96.54033333
7708490,-96.54066667
8058840,-97.272
8409189,-96.121
8759539,-92.09166667
9109888,-93.43466667
9460238,-89.213
9810587,-89.02133333
10160937,-90.36433333
10511286,-93.01466667
10861636,-92.823
11211986,-92.247
11562335,-90.904
11912685,-89.75266667
12263034,-92.05533333
12613384,-93.20666667
12963733,-94.89766667
13314083,-94.13
13664432,-90.48433333
14014782,-88.94933333
14365132,-93.74633333
14715481,-93.36266667
15065831,-89.141
15416180,-88.52966667
15766530,-88.72166667
16116879,-92.36733333
16467229,-91.79166667
16817578,-91.59966667
17167928,-93.32633333
17518277,-89.48866667
17868627,-89.26133333
18218977,-90.22066667
18569326,-94.634
18919676,-93.67466667
19270025,-95.40133333
19620375,-96.74466667
19970724,-93.29066667
20321074,-94.79
20671423,-94.21433333
21021773,-95.17366667
21372123,-96.133
21722472,-94.40566667
22072822,-94.98166667
22423171,-94.40633333
22773521,-95.32966667
23123870,-96.48066667
23474220,-94.94566667
23824569,-94.562
24174919,-94.36966667
24525268,-94.94566667
24875618,-95.71333333
25225968,-94.90966667
25576317,-93.37466667
25926667,-94.142
26277016,-92.41533333
26627366,-92.99066667
26977715,-92.22333333
27328065,-92.607
27678414,-95.25766667
28028764,-96.79233333
28379114,-94.68166667
28729463,-96.60066667
29079813,-98.90333333
29430162,-98.32733333
29780512,-98.32766667
30130861,-97.14033333
30481211,-94.45366667
30831560,-94.07
31181910,-95.22133333
31532259,-92.91866667
31882609,-93.68633333
32232959,-93.68633333
32583308,-92.34333333
32933658,-91.38366667
33284007,-91.192
33634357,-92.535
33984706,-94.262
34335056,-93.11066667
34685405,-94.07
35035755,-95.79733333
35386105,-94.64566667
35736454,-95.797
36086804,-95.22133333
36437153,-95.22133333
36787503,-94.07
37137852,-93.30266667
37488202,-93.11066667
37838551,-91.76733333
38188901,-90.233
38539250,-91
38889600,-91
39239950,-90.077
39590299,-90.07666667
39940649,-89.11733333
40290998,-89.885
40641348,-90.65233333
40991697,-89.501
41342047,-88.92533333
41692396,-89.50133333
42042746,-88.54166667
42393095,-88.73333333
42743445,-89.11733333
43093795,-88.15766667
43444144,-88.92533333
43794494,-88.158
44144843,-87.774
44495193,-88.92533333
44845542,-88.73366667
45195892,-88.34966667
45546241,-88.158
45896591,-87.77433333
46246941,-89.30933333
46597290,-87.582
46947640,-89.501
47297989,-90.07666667
47648339,-89.885
47998688,-89.11766667
48349038,-89.11733333
48699387,-87.81
49049737,-84.164
49400086,-86.467
49750436,-86.083
50100786,-87.04266667
50451135,-86.275
50801485,-87.426
51151834,-87.23466667
51502184,-87.23433333
51852533,-88.57766667
52202883,-86.85033333
52553232,-87.23433333
52903582,-89.729
53253932,-89.729
53604281,-90.49633333
53954631,-90.88033333
54304980,-90.88033333
54655330,-91.07233333
55005679,-89.537
55356029,-89.729
55706378,-85.31533333
56056728,-88.002
56407077,-87.23466667
56757427,-86.85066667
57107777,-86.659
57458126,-85.50733333
57808476,-88.03766667
58158825,-87.846
58509175,-89.957
58859524,-85.35133333
59209874,-89.573
59560223,-85.92733333
59910573,-89.189
60260923,-91.108
60611272,-91.3
60961622,-90.91633333
61311971,-92.835
61662321,-92.25933333
62012670,-90.724
62363020,-92.06733333
62713369,-88.03766667
63063719,-86.11933333
63414068,-91.87533333
63764418,-91.87533333
64114768,-90.916
64465117,-91.68366667
64815467,-90.34033333
65165816,-88.22966667
65516166,-87.462
65866515,-92.25933333
66216865,-89.76466667
66567214,-93.027
66917564,-94.59766667
67267914,-96.51666667
67618263,-97.09233333
67968613,-96.325
68318962,-97.28433333
68669312,-92.67933333
69019661,-96.70866667
69370011,-92.29533333
69720360,-95.94133333
70070710,-97.668
70421059,-98.05166667
70771409,-97.85966667
71121759,-98.05166667
71472108,-96.709
71822458,-92.487
72172807,-88.64966667
72523157,-97.28433333
72873506,-93.83033333
73223856,-98.43533333
73574205,-98.24366667
73924555,-99.20266667
74274905,-100.354
74625254,-101.3136667
74975604,-99.77866667
75325953,-94.022
75676303,-100.1626667
76026652,-94.058
76377002,-99.239
76727351,-101.7333333
77077701,-102.8846667
77428050,-103.2686667
77778400,-104.0363333
78128750,-102.117
78479099,-101.5416667
78829449,-95.59333333
79179798,-101.1576667
79530148,-98.47133333
79880497,-100.1983333
80230847,-101.5416667
80581196,-100.966
80931546,-100.1986667
81281895,-103.2686667
81632245,-104.42
81982595,-95.78533333
82332944,-100.774
82683294,-98.27933333
83033643,-95.20933333
83383993,-97.512
83734342,-98.47133333
84084692,-103.2686667
84435041,-105.571
84785391,-103.8443333
85135741,-103.1126667
85486090,-94.862
85836440,-102.345
86186789,-99.275
86537139,-104.0723333
86887488,-102.3453333
87237838,-104.0723333
87588187,-101.194
87938537,-101.9613333
88288886,-102.729
88639236,-97.74
88989586,-99.083
89339935,-102.345
89690285,-101.194
90040634,-104.4556667
90390984,-96.20466667
90741333,-96.205
91091683,-105.607
91442032,-104.0723333
91792382,-98.50733333
92142732,-94.67
92493081,-97.548
92843431,-93.327
93193780,-96.205
93544130,-97.93166667
93894479,-97.74033333
94244829,-104.072
94595178,-101.4216667
94945528,-100.654
95295877,-97.96766667
95646227,-97.584
95996577,-101.9976667
96346926,-102.3813333
96697276,-101.9973333
97047625,-104.6836667
97397975,-104.8756667
97748324,-104.3
98098674,-100.6543333
98449023,-100.4623333
98799373,-97.00866667
99149723,-105.0673333
99500072,-100.6543333
99850422,-104.684
100200771,-104.1083333
100551121,-104.4916667
100901470,-102.9566667
101251820,-104.6836667
101602169,-103.7243333
101952519,-98.15966667
102302868,-102.7646667
102653218,-101.0376667
103003568,-102.1893333
103353917,-100.0786667
103704267,-84.57233333
104054616,-83.99633333
104404966,-103.76
104755315,-95.89333333
105105665,-94.93366667
105456014,-102.9926667
105806364,-103.3763333
106156714,-102.417
106507063,-101.074
106857413,-97.62
107207762,-97.428
107558112,-98.57933333
107908461,-100.69
108258811,-100.882
108609160,-99.92266667
108959510,-103.3766667
109309859,-100.882
109660209,-100.3063333
110010559,-102.609
110360908,-103.9523333
110711258,-102.4173333
111061607,-102.801
111411957,-102.2253333
111762306,-99.73066667
112112656,-100.4983333
112463005,-100.1143333
112813355,-100.3423333
113163705,-100.918
113514054,-101.302
113864404,-99.95866667
114214753,-99.191
114565103,-99.383
114915452,-97.464
115265802,-99.57466667
115616151,-99.76666667
115966501,-102.0693333
116316850,-99.191
116667200,-100.3423333
117017550,-101.1096667
117367899,-98.61533333
117718249,-99.95833333
118068598,-100.1506667
118418948,-98.807
118769297,-96.69633333
119119647,-93.051
119469996,-94.01033333
119820346,-95.73733333
120170695,-96.313
120521045,-95.54533333
120871395,-97.08033333
121221744,-98.42333333
121572094,-97.656
121922443,-99.227
122272793,-99.035
122623142,-100.3783333
122973492,-100.5703333
123323841,-100.954
123674191,-101.3376667
124024541,-102.2973333
124374890,-101.5296667
124725240,-102.2973333
125075589,-101.5296667
125425939,-102.1053333
125776288,-100.1863333
126126638,-100.762
126476987,-101.5296667
126827337,-101.5296667
127177686,-100.9536667
127528036,-100.954
127878386,-100.3783333
128228735,-99.41866667
128579085,-98.65133333
128929434,-99.227
129279784,-96.54066667
129630133,-99.035
129980483,-99.419
130330832,-99.03533333
130681182,-98.07566667
131031532,-95.809
131381881,-97.728
