Frequency (Hz),Magnitude (Log Mag dB)
350351,-36.17
700702,-88.74533333
1051052,-90.47266667
1401402,-91.432
1751753,-104.8636667
2102103,-104.8633333
2452453,-106.2066667
2802804,-105.0553333
3153154,-106.7463333
3503504,-106.3626667
3853855,-105.403
4204205,-106.1706667
4554556,-106.1706667
4904906,-107.8976667
5255256,-106.5543333
5605607,-105.9426667
5955957,-106.7106667
6306307,-106.1346667
6656658,-107.67
7007008,-108.2453333
7357358,-107.6696667
7707709,-107.094
8058059,-107.0583333
8408409,-107.442
8758760,-108.0173333
9109110,-105.715
9459460,-102.645
9809811,-103.0286667
10160161,-104.1803333
10510511,-106.0626667
10860862,-105.871
11211212,-105.679
11561563,-104.9113333
11911913,-103.1846667
12262263,-104.5276667
12612614,-105.8706667
12962964,-104.8756667
13313314,-105.2593333
13663665,-104.684
14014015,-103.9163333
14364365,-105.0673333
14714716,-103.7246667
15065066,-104.492
15415416,-103.1126667
15765767,-103.3043333
16116117,-103.6883333
16466467,-104.84
16816818,-103.4966667
17167168,-104.264
17517518,-102.9206667
17867869,-104.42
18218219,-105.5713333
18568570,-104.6116667
18918920,-104.6116667
19269270,-104.036
19619621,-105.3793333
19969971,-103.4603333
20320321,-104
20670672,-103.4246667
21021022,-102.273
21371372,-102.8486667
21721723,-102.4646667
22072073,-103.4243333
22422423,-102.273
22772774,-104.348
23123124,-104.9236667
23473474,-104.9236667
23823825,-103.1963333
24174175,-103.5806667
24524525,-104.156
24874876,-103.7723333
25225226,-102.9686667
25575577,-103.3523333
25925927,-100.858
26276277,-101.6253333
26626628,-101.05
26976978,-100.6663333
27327328,-100.474
27677679,-102.5486667
28028029,-101.3976667
28378379,-101.7813333
28728730,-102.3573333
29079080,-102.357
29429430,-104.084
29779781,-103.5083333
30130131,-101.9373333
30480481,-102.513
30830832,-101.5536667
31181182,-100.2106667
31531532,-100.4023333
31881883,-97.71633333
32232233,-99.05933333
32582583,-98.86733333
32932934,-97.52433333
33283284,-98.1
33633635,-97.14066667
33983985,-98.09966667
34334335,-98.48333333
34684686,-97.716
35035036,-99.635
35385386,-99.05933333
35735737,-98.86766667
36086087,-98.1
36436437,-97.332
36786788,-96.181
37137138,-95.02966667
37487488,-93.87833333
37837839,-92.72666667
38188189,-92.34333333
38538539,-91.95933333
38888890,-91
39239240,-91.612
39589590,-91.03633333
39939941,-90.65233333
40290291,-90.844
40640642,-89.88466667
40990992,-89.693
41341342,-88.92533333
41691693,-87.00666667
42042043,-88.34966667
42392393,-87.00666667
42742744,-86.047
43093094,-86.239
43443444,-84.512
43793795,-84.51233333
44144145,-83.169
44494495,-82.40133333
44844846,-84.12833333
45195196,-84.12833333
45545546,-82.59333333
45895897,-83.16866667
46246247,-83.55266667
46596597,-84.704
46946948,-83.93633333
47297298,-83.169
47647649,-83.36066667
47997999,-83.169
48348349,-82.20933333
48698700,-83.78066667
49049050,-83.97233333
49399400,-83.397
49749751,-82.24566667
50100101,-82.62933333
50450451,-82.05366667
50800802,-82.43733333
51151152,-86.083
51501502,-86.27533333
51851853,-84.35633333
52202203,-87.04266667
52552553,-87.23433333
52902904,-88.76933333
53253254,-88.38566667
53603604,-89.15333333
53953955,-87.23433333
54304305,-91.072
54654655,-88.38533333
55005006,-87.23433333
55355356,-88.002
55705707,-87.04266667
56056057,-87.234
56406407,-88.96133333
56756758,-89.537
57107108,-87.23433333
57457458,-87.61833333
57807809,-87.846
58158159,-88.038
58508509,-89.95666667
58858860,-89.76466667
59209210,-90.916
59559560,-91.108
59909911,-91.49166667
60260261,-93.41066667
60610611,-91.87566667
60960962,-93.79433333
61311312,-93.02666667
61661662,-91.87566667
62012013,-91.684
62362363,-90.53233333
62712714,-91.108
63063064,-91.68366667
63413414,-90.34066667
63763765,-91.49166667
64114115,-91.68366667
64464465,-92.259
64814816,-92.06766667
65165166,-92.06766667
65515516,-90.916
65865867,-94.37
66216217,-93.98633333
66566567,-94.562
66916918,-94.02233333
67267268,-94.02233333
67617618,-95.94066667
67967969,-96.32466667
68318319,-97.09233333
68668669,-95.749
69019020,-95.749
69369370,-96.70866667
69719721,-96.90066667
70070071,-97.86
70420421,-95.749
70770772,-96.709
71121122,-97.476
71471472,-96.13266667
71821823,-98.24366667
72172173,-94.98166667
72522523,-99.203
72872874,-99.77866667
73223224,-99.77866667
73573574,-97.476
73923925,-97.284
74274275,-101.122
74624625,-99.77866667
74974976,-101.6976667
75325326,-100.3543333
75675676,-99.395
76026027,-100.0063333
76376377,-100.9656667
76726728,-101.7333333
77077078,-98.855
77427428,-101.3496667
77777779,-99.62266667
78128129,-99.81466667
78478479,-101.9253333
78828830,-98.855
79179180,-103.6523333
79529530,-103.4603333
79879881,-104.42
80230231,-104.6116667
80580581,-102.501
80930932,-102.501
81281282,-103.0766667
81631632,-103.844
81981983,-101.5416667
82332333,-101.7333333
82682683,-102.693
83033034,-102.309
83383384,-102.501
83733734,-102.1173333
84084085,-105.5713333
84434435,-103.6523333
84784786,-101.7336667
85135136,-104.6476667
85485486,-103.1126667
85835837,-104.264
86186187,-104.648
86536537,-105.0316667
86886888,-104.072
87237238,-104.264
87587588,-104.4556667
87937939,-102.537
88288289,-102.345
88638639,-101.961
88988990,-100.8103333
89339340,-103.4963333
89689690,-103.6883333
90040041,-91.79133333
90390391,-72.21966667
90740741,-72.41133333
91091092,-102.345
91441442,-102.1533333
91791793,-95.821
92142143,-95.05366667
92492493,-92.751
92842844,-93.90233333
93193194,-93.51833333
93543544,-92.559
93893895,-92.943
94244245,-104.8396667
94594595,-105.2593333
94944946,-97.96766667
95295296,-98.54333333
95645646,-103.5326667
95995997,-105.8353333
96346347,-106.4106667
96696697,-105.835
97047048,-103.916
97397398,-104.2996667
97747748,-105.4513333
98098099,-94.51433333
98448449,-93.74666667
98798800,-94.322
99149150,-105.0676667
99499500,-106.986
99849851,-106.4106667
100200201,-104.684
100550551,-103.916
100900902,-105.2593333
101251252,-104.1076667
101601602,-104.8753333
101951953,-94.514
102302303,-90.29233333
102652653,-90.29233333
103003004,-104.8756667
103353354,-102.189
103703704,-89.36866667
104054055,-90.13666667
104404405,-104.528
104754755,-93.97433333
105105106,-97.04466667
105455456,-104.7196667
105805807,-105.871
106156157,-106.2546667
106506507,-104.528
106856858,-104.5276667
107207208,-101.2656667
107557558,-102.417
107907909,-104.3356667
108258259,-104.7196667
108608609,-103.9523333
108958960,-105.2953333
109309310,-105.679
109659660,-105.871
110010011,-105.871
110360361,-105.8706667
110710711,-104.528
111061062,-104.9116667
111411412,-105.1036667
111761762,-103.952
112112113,-104.7196667
112462463,-105.1036667
112812813,-104.7556667
113163164,-103.988
113513514,-102.837
113863865,-103.4126667
114214215,-104.3716667
114564565,-104.18
114914916,-103.6046667
115265266,-104.5636667
115615616,-105.715
115965967,-105.1396667
